NAME	POS	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	% OVER	L5 % OVER	LAST 7 GAMES	LAST YR % OVER	OVER	UNDER
Nikola Vucevic	C	CHI	DEN	26th	ast	1.5	3.1	92%	100%	2,4,6,3,3,2,3	86%	-154	'+120
Dangelo Russell	PG	MIN	CLE	8th	ast	3.5	5.8	92%	100%	8,6,8,4,4,4,4	86%	-140	'+114
Ayo Dosunmu	SG	CHI	DEN	26th	ast	1.5	3.2	92%	100%	4,2,3,3,3,4,1	64%	-175	'+130
Jarred Vanderbilt	PF	UTAH	PHI	14th	reb	5.5	8.1	92%	100%	8,7,6,6,7,7,7	80%	-110	-113
Domantas Sabonis	PF	SAC	GS	25th	ast	3.5	6.1	91%	100%	6,6,6,6,8,7,3	65%	-115	-104
Kelly Olynyk	PF	UTAH	PHI	10th	ast	1.5	3.3	86%	100%	4,2,2,4,3,4,1	82%	-120	'+100
Karl Anthony Towns	C	MIN	CLE	1st	reb	6.5	9	85%	100%	10,8,13,9,11,10,11	90%	'+108	-132
Draymond Green	PF	GS	SAC	9th	reb	4.5	6.4	82%	100%	9,8,5,6,7,8,7	80%	-145	'+110
Anthony Davis	PF	LAL	BKN	7th	ast	1.5	2.5	82%	100%	3,3,2,4,2,4,2	83%	-162	'+126
Mike Conley	PG	UTAH	PHI	10th	ast	4.5	8.2	92%	80%	10,13,12,4,10,8,5	69%	-118	-108
Stephen Curry	PG	GS	SAC	9th	reb	3.5	6.8	91%	80%	4,8,3,13,6,11,7	81%	-145	'+110
Kristaps Porzingis	C	WSH	MEM	15th	reb	5.5	8.3	83%	80%	10,8,4,10,9,9,13	84%	-105	-112
Kevin Durant	PF	BKN	LAL	28th	reb	4.5	6.5	77%	80%	6,12,4,8,9,9,9	83%	-138	'+110
Santi Aldama	PF	MEM	WSH	7th	reb	3.5	6.2	77%	80%	7,7,1,10,5,7,8	81%	-140	'+105
Draymond Green	PF	GS	SAC	14th	ast	4.5	6.3	73%	80%	13,6,7,3,7,6,4	86%	-113	'+100
Royce Oneale	PF	BKN	LAL	28th	reb	3.5	4.7	69%	80%	5,10,4,4,3,5,8	75%	-125	'+125
Michael Porter Jr	SF	DEN	CHI	10th	reb	4.5	6.9	82%	80%	4,6,6,9,6,9,13	75%	-115	-110
Harrison Barnes	SF	SAC	GS	23rd	reb	3.5	5.9	73%	80%	8,9,3,5,7,9,4	79%	'+100	-128
Patrick Beverley	PG	LAL	BKN	24th	reb	2.5	3.7	70%	80%	3,2,5,4,5,6,4	74%	-145	'+110
Anthony Edwards	SG	MIN	CLE	8th	ast	2.5	3.9	62%	80%	6,6,1,3,3,1,6	78%	-132	'+110
Deaaron Fox	PG	SAC	GS	25th	ast	3.5	5.8	70%	60%	12,8,6,3,1,5,2	74%	-156	'+125
