TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
SF,RB,Tevin Coleman,6,10%,2,6%,4,16%,100%,11%,18,15%,6,2%,6,3%,0,0%,4%,3.4,68.3,5%
PHI,RB,Jason Huntley,1,1%,0,0%,1,6%,100%,2%,1,2%,0,0%,0,0%,0,0%,0%,0.1,68.5,0%
MIA,RB,Jordan Howard,9,15%,0,0%,8,30%,89%,14%,7,8%,0,0%,0,0%,1,100%,35%,6.7,52,13%
LV,RB,Devontae Booker,8,13%,3,11%,4,13%,88%,12%,29,22%,23,10%,1,1%,0,0%,9%,8.2,99.15,8%
DET,RB,Adrian Peterson,24,31%,3,7%,14,48%,71%,24%,93,67%,21,7%,2,1%,0,0%,17%,14.4,77.2,19%
NO,RB,Latavius Murray,23,34%,1,3%,15,44%,70%,25%,48,59%,0,0%,0,0%,0,0%,11%,4.8,61.3,8%
PIT,RB,Benny Snell,29,45%,1,3%,19,63%,69%,33%,113,80%,0,0%,-2,-1%,0,0%,20%,11.3,75.1,15%
LAC,RB,Joshua Kelley,18,24%,0,0%,12,31%,67%,18%,60,39%,0,0%,0,0%,1,100%,44%,12.0,57.6,21%
PIT,RB,James Conner,15,23%,4,13%,6,20%,67%,16%,9,6%,8,3%,-2,-1%,0,0%,3%,3.7,75.1,5%
TB,RB,Leonard Fournette,9,13%,1,3%,5,19%,67%,10%,5,6%,14,6%,0,0%,0,0%,4%,2.9,66.6,4%
IND,RB,Marlon Mack,11,15%,3,7%,4,18%,64%,10%,26,30%,30,8%,-1,0%,0,0%,8%,8.6,92.8,9%
LV,RB,Josh Jacobs,49,78%,6,21%,25,81%,63%,53%,93,70%,46,19%,17,10%,3,75%,50%,35.9,99.15,36%
LAR,RB,Cam Akers,24,33%,1,4%,14,35%,63%,22%,39,25%,4,1%,1,1%,0,0%,7%,5.3,73.3,7%
WAS,RB,Antonio Gibson,18,26%,2,7%,9,25%,61%,17%,36,45%,8,4%,-7,-3%,0,0%,11%,6.4,59.1,11%
TB,RB,Ronald Jones,33,47%,3,9%,17,65%,61%,33%,66,77%,16,7%,4,1%,0,0%,17%,10.2,66.6,15%
LAR,RB,Darrell Henderson,5,7%,0,0%,3,8%,60%,4%,6,4%,0,0%,0,0%,0,0%,1%,0.6,73.3,1%
KC,RB,Clyde Edwards-Helaire,46,67%,2,6%,25,74%,59%,41%,138,83%,0,0%,-7,-5%,1,25%,33%,19.8,85.7,23%
WAS,RB,Peyton Barber,29,41%,0,0%,17,47%,59%,26%,29,36%,0,0%,0,0%,2,67%,30%,14.9,59.1,25%
IND,RB,Jonathan Taylor,26,35%,6,13%,9,41%,58%,22%,22,25%,67,18%,-20,-7%,0,0%,13%,14.9,92.8,16%
TEN,RB,Derrick Henry,61,75%,3,8%,31,91%,56%,46%,116,89%,15,6%,3,1%,0,0%,23%,16.1,77.5,21%
NE,RB,J.J. Taylor,9,14%,1,5%,4,10%,56%,8%,28,13%,4,3%,-4,-4%,0,0%,6%,4.2,50.7,8%
CHI,RB,David Montgomery,29,45%,3,8%,13,46%,55%,25%,64,43%,10,4%,-6,-2%,0,0%,13%,8.4,74.5,11%
SF,RB,Raheem Mostert,37,60%,5,16%,15,60%,54%,35%,56,46%,95,37%,14,6%,1,50%,43%,25.1,68.3,37%
CLE,RB,Kareem Hunt,36,49%,6,17%,13,50%,53%,31%,72,51%,9,5%,3,1%,0,0%,16%,12.1,59.6,20%
