TEAM,POS,PLAYER,Snaps,Snap%,TGT,TGT%,ATT,Ru%,INVL,USG,RuYd,Ru%,ReYd,Re%,AirYd,Air%,TD,TD%,DOM,PPR,Tm PPR,PPR%
CHI,WR,Cordarrelle Patterson,10,15%,1,3%,4,14%,50%,8%,19,13%,12,5%,3,1%,0,0%,3%,4.1,74.5,6%
CAR,WR,Seth Roberts,5,7%,2,6%,0,0%,40%,3%,0,0%,5,2%,14,5%,0,0%,2%,1.5,79.2,2%
NO,WR,Deonte Harris,7,10%,1,3%,1,3%,29%,3%,9,11%,17,9%,-7,-4%,0,0%,4%,3.6,61.3,6%
NYJ,WR,Jamison Crowder,48,86%,13,39%,0,0%,27%,27%,0,0%,115,53%,109,41%,1,50%,50%,24.5,59.1,41%
GB,WR,Davante Adams,70,90%,17,41%,0,0%,24%,23%,0,0%,156,43%,163,50%,2,40%,43%,41.6,114.2,36%
SF,WR,Trent Taylor,21,34%,5,16%,0,0%,24%,9%,0,0%,7,3%,33,15%,0,0%,4%,2.7,68.3,4%
PHI,WR,Greg Ward Jr.,30,44%,7,17%,0,0%,23%,12%,0,0%,31,11%,36,7%,0,0%,7%,8.1,68.5,12%
CHI,WR,Anthony Miller,27,42%,6,17%,0,0%,22%,9%,0,0%,76,31%,109,35%,1,33%,33%,17.6,74.5,24%
ATL,WR,Russell Gage,55,70%,12,23%,0,0%,22%,17%,0,0%,114,25%,89,24%,0,0%,17%,20.4,107.1,19%
NE,WR,Julian Edelman,37,58%,7,37%,1,2%,22%,13%,23,11%,57,37%,61,60%,0,0%,28%,13.0,50.7,26%
HOU,WR,Will Fuller,47,80%,10,32%,0,0%,21%,19%,0,0%,112,44%,129,50%,0,0%,30%,19.2,66.4,29%
ARI,WR,DeAndre Hopkins,77,94%,16,43%,0,0%,21%,22%,0,0%,151,66%,103,54%,0,0%,42%,29.1,69.6,42%
DAL,WR,Amari Cooper,68,94%,14,38%,0,0%,21%,22%,0,0%,81,30%,113,44%,0,0%,23%,18.1,74.2,24%
CIN,WR,A.J. Green,45,66%,9,26%,0,0%,20%,14%,0,0%,51,26%,132,45%,0,0%,21%,10.1,49.9,20%
CIN,WR,Mike Thomas,15,22%,3,9%,0,0%,20%,5%,0,0%,17,9%,28,10%,0,0%,6%,3.7,49.9,7%
DEN,WR,Tyrie Cleveland,5,8%,1,3%,0,0%,20%,2%,0,0%,7,3%,-3,-1%,0,0%,1%,1.7,65.8,3%
JAC,WR,Laviska Shenault Jr.,31,62%,4,20%,2,9%,19%,14%,10,11%,37,21%,36,40%,1,33%,28%,13.7,61.5,22%
ATL,WR,Calvin Ridley,68,86%,12,23%,1,5%,19%,18%,-1,-1%,130,29%,41,11%,2,67%,38%,33.9,107.1,32%
PHI,WR,DeSean Jackson,37,54%,7,17%,0,0%,19%,12%,0,0%,46,17%,214,41%,0,0%,15%,6.6,68.5,10%
CHI,WR,Allen Robinson,53,82%,9,25%,1,4%,19%,16%,-1,-1%,74,31%,148,47%,0,0%,23%,12.3,74.5,17%
BUF,WR,Isaiah McKenzie,16,18%,3,7%,0,0%,19%,4%,0,0%,17,5%,-10,-4%,0,0%,2%,4.7,80.3,6%
ATL,WR,Julio Jones,65,82%,12,23%,0,0%,18%,17%,0,0%,157,35%,188,51%,0,0%,26%,24.7,107.1,23%
PIT,WR,Diontae Johnson,55,86%,10,32%,0,0%,18%,16%,0,0%,57,25%,63,30%,0,0%,17%,11.7,75.1,16%
KC,WR,Sammy Watkins,55,80%,9,28%,1,3%,18%,15%,3,2%,82,39%,59,40%,1,25%,34%,21.5,85.7,25%
CLE,WR,Odell Beckham Jr.,55,75%,10,29%,0,0%,18%,16%,0,0%,22,12%,129,40%,0,0%,13%,5.2,59.6,9%
DEN,WR,Jerry Jeudy,44,75%,8,25%,0,0%,18%,14%,0,0%,56,26%,100,34%,0,0%,19%,9.6,65.8,15%
KC,WR,Demarcus Robinson,33,48%,6,19%,0,0%,18%,9%,0,0%,20,9%,42,29%,0,0%,10%,5.0,85.7,6%
TB,WR,Justin Watson,11,16%,2,6%,0,0%,18%,3%,0,0%,6,3%,9,3%,0,0%,2%,1.6,66.6,2%
CAR,WR,Curtis Samuel,50,75%,8,24%,1,3%,18%,14%,5,4%,38,14%,70,25%,0,0%,11%,9.3,79.2,12%
MIA,WR,DeVante Parker,23,37%,4,13%,0,0%,17%,7%,0,0%,47,25%,40,16%,0,0%,15%,8.7,52,17%
LV,WR,Henry Ruggs,42,67%,5,18%,2,6%,17%,12%,11,8%,55,23%,93,53%,0,0%,20%,9.6,99.15,10%
IND,WR,Parris Campbell,61,82%,9,20%,1,5%,16%,15%,9,10%,71,20%,107,37%,0,0%,16%,14.0,92.8,15%
TB,WR,Scott Miller,43,61%,6,18%,1,4%,16%,12%,6,7%,73,31%,56,20%,0,0%,19%,12.9,66.6,19%
DET,WR,Danny Amendola,43,55%,7,17%,0,0%,16%,10%,0,0%,81,27%,67,18%,0,0%,17%,13.1,77.2,17%
BAL,WR,Marquise Brown,37,63%,6,24%,0,0%,16%,11%,0,0%,101,36%,114,45%,0,0%,25%,15.1,85.7,18%
DET,WR,Quintez Cephus,62,79%,10,24%,0,0%,16%,14%,0,0%,43,14%,129,35%,0,0%,13%,7.3,77.2,9%
HOU,WR,Brandin Cooks,31,53%,5,16%,0,0%,16%,9%,0,0%,20,8%,46,18%,0,0%,7%,4.0,66.4,6%
MIN,WR,Adam Thielen,50,96%,8,32%,0,0%,16%,17%,0,0%,110,42%,143,54%,2,50%,47%,31.0,84.9,37%
TEN,WR,Adam Humphries,44,54%,7,18%,0,0%,16%,9%,0,0%,47,19%,42,19%,0,0%,13%,10.7,77.5,14%
PIT,WR,Chase Claypool,19,30%,2,6%,1,3%,16%,5%,8,6%,39,17%,32,15%,0,0%,11%,6.7,75.1,9%
CAR,WR,D.J. Moore,58,87%,9,26%,0,0%,16%,14%,0,0%,54,20%,100,36%,0,0%,16%,9.4,79.2,12%
NYG,WR,Darius Slayton,58,85%,9,23%,0,0%,16%,15%,0,0%,102,37%,102,42%,2,100%,59%,28.2,66.6,42%
LAC,WR,Mike Williams,58,78%,9,31%,0,0%,16%,13%,0,0%,69,33%,147,45%,0,0%,24%,10.9,57.6,19%
HOU,WR,DeAndre Carter,13,22%,2,6%,0,0%,15%,4%,0,0%,8,3%,16,6%,0,0%,3%,1.8,66.4,3%
IND,WR,T.Y. Hilton,59,80%,9,20%,0,0%,15%,13%,0,0%,53,15%,109,38%,0,0%,14%,9.3,92.8,10%
JAC,WR,Keelan Cole,33,66%,5,25%,0,0%,15%,12%,0,0%,47,27%,31,35%,1,33%,31%,15.7,61.5,26%
