NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Trey Lyles	PF	16	-280	H	SAC	MIN	20th	3ptm	0.5	1.2	1.43 - 0.81	0.91 - 1.45	68%	87%	60%	2,0,0,1,2,2,3,1,1,3	51%	-205	'+165
Jrue Holiday	PG	32	-850	A	MIL	DET	19th	3ptm	1.5	2.3	2.26 - 2.44	1.9 - 2.69	63%	53%	40%	1,4,0,1,2,0,1,4,2,3	52%	-190	'+155
James Harden	SG	36	'+235	A	PHI	DEN	4th	3ptm	2.5	2.8	2.83 - 2.76	2.58 - 3.0	60%	60%	40%	0,0,3,3,2,1,5,5,4,3	42%	-135	'+105
Naji Marshall	SF	24	-600	A	NO	POR	8th	3ptm	0.5	0.9	0.89 - 1.0	0.94 - 0.94	58%	53%	60%	1,1,0,1,0,1,0,3,1,0	25%	-145	'+115
Aaron Gordon	PF	30	-280	H	DEN	PHI	17th	3ptm	0.5	0.9	0.86 - 1.05	1.14 - 0.74	58%	47%	40%	1,2,0,0,0,0,1,2,1,0	68%	-155	'+125
Kevin Porter Jr	SG	34	'+650	A	HOU	NY	9th	3ptm	1.5	2.2	2.13 - 2.16	1.96 - 2.32	57%	60%	60%	0,1,2,3,3,5,2,1,2,1	77%	-165	'+135
Devin Booker	SG	34	'+240	A	PHX	UTAH	23rd	3ptm	1.5	2.2	2.57 - 1.58	2.0 - 2.33	57%	47%	60%	2,0,1,3,2,1,0,2,6,1	75%	-190	'+155
Pat Connaughton	SG	24	-850	A	MIL	DET	19th	3ptm	1.5	1.9	2.0 - 1.65	2.1 - 1.65	57%	33%	20%	1,6,1,1,1,2,0,1,2,0	0%	-115	-115
Giannis Antetokounmpo	PF	32	-850	A	MIL	DET	13th	3ptm	0.5	0.8	1.0 - 0.2	0.83 - 0.77	56%	53%	60%	0,1,1,1,0,0,2,0,0,3	61%	-145	'+115
Joe Ingles	SG	22	-850	A	MIL	DET	19th	3ptm	1.5	1.8	1.93 - 1.58	1.76 - 1.89	55%	73%	80%	0,2,4,2,4,2,5,2,2,4	0%	-145	'+115
Cj Mccollum	SG	35	-600	A	NO	POR	25th	3ptm	2.5	2.8	3.09 - 2.53	2.47 - 3.11	55%	60%	80%	3,3,1,4,3,1,4,4,6,1	57%	-135	'+105
Kenyon Martin Jr	F	27	'+650	A	HOU	NY	28th	3ptm	0.5	0.8	0.72 - 0.88	0.84 - 0.84	55%	53%	60%	1,0,2,0,2,1,0,1,2,0	50%	-145	'+115
Tari Eason	F	21	'+650	A	HOU	NY	28th	3ptm	0.5	0.7	0.67 - 0.74	0.78 - 0.66	55%	53%	60%	0,1,1,1,0,1,0,0,4,0	0%	-155	'+125
Nikola Jokic	C	33	-280	H	DEN	PHI	21st	3ptm	0.5	0.9	0.72 - 1.21	0.94 - 0.79	55%	47%	60%	1,2,0,1,0,0,0,4,3,1	72%	-175	'+140
Terance Mann	SG	23	-190	H	LAC	CHI	27th	3ptm	0.5	0.9	0.9 - 0.97	0.86 - 1.0	55%	67%	60%	1,2,1,0,0,1,0,0,1,2	68%	-180	'+145
Reggie Bullock	SF	30	-240	A	DAL	IND	4th	3ptm	1.5	2.0	2.11 - 1.84	2.11 - 1.84	54%	60%	60%	1,2,5,1,3,6,1,1,0,2	57%	-185	'+150
Kentavious Caldwell Pope	SG	31	-280	H	DEN	PHI	15th	3ptm	1.5	1.8	1.98 - 1.36	1.63 - 1.94	54%	33%	40%	0,0,2,0,4,0,0,3,1,0	56%	'+125	-155
Tobias Harris	PF	33	'+235	A	PHI	DEN	1st	3ptm	1.5	1.8	1.69 - 1.92	1.57 - 1.97	52%	47%	80%	3,1,3,2,4,3,1,1,0,0	44%	-105	-125
Pj Tucker	PF	25	'+235	A	PHI	DEN	1st	3ptm	0.5	0.7	0.6 - 0.88	0.79 - 0.61	52%	60%	60%	1,0,1,0,1,0,0,0,0,1	61%	-130	'+100
Kevin Huerter	SG	29	-280	H	SAC	MIN	10th	3ptm	2.5	2.8	2.71 - 2.85	2.18 - 3.31	51%	53%	60%	2,6,0,4,8,1,2,6,6,3	38%	-130	'+100
