NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Tyler Herro	PG	35	-225	H	MIA	BKN	7th	ast	3.5	4.3	4.48 - 4.04	4.07 - 4.5	55%	60%	4,4,2,6,2,3,4,5,3,5	53%	-120	-110
Nikola Jokic	C	33	-135	H	DEN	MIL	21st	ast	9.5	9.9	10.78 - 7.63	8.56 - 11.12	54%	20%	7,10,8,9,7,11,11,8,9,10	26%	-130	'+100
Cj Mccollum	SG	35	'+170	A	NO	LAC	16th	ast	5.5	5.9	5.94 - 5.82	5.32 - 6.37	53%	40%	3,4,5,6,9,11,8,5,3,5	42%	'+105	-135
Jimmy Butler	SF	33	-225	H	MIA	BKN	10th	ast	5.5	5.1	5.78 - 4.37	5.07 - 5.19	44%	60%	9,10,1,6,4,2,3,5,9,7	33%	'+125	-155
Brandon Ingram	SF	33	'+170	A	NO	LAC	1st	ast	5.5	5.2	5.76 - 4.68	5.11 - 5.28	42%	100%	10,7,9,6,6,5,7,4,5,5	41%	-140	'+110
Jamal Murray	PG	33	-135	H	DEN	MIL	2nd	ast	6.5	6.1	6.38 - 5.58	5.96 - 6.25	41%	80%	8,8,6,10,9,1,7,6,5,9	0%	'+105	-135
Bam Adebayo	C	35	-225	H	MIA	BKN	7th	ast	3.5	3.3	3.03 - 3.56	3.45 - 3.11	41%	40%	3,5,4,3,3,3,4,1,5,5	49%	'+140	-175
Kentavious Caldwell Pope	SG	31	-135	H	DEN	MIL	2nd	ast	2.5	2.5	2.5 - 2.5	2.74 - 2.26	41%	40%	4,2,1,2,4,1,5,4,4,5	36%	-110	-120
Herbert Jones	SF	29	'+170	A	NO	LAC	1st	ast	2.5	2.4	2.36 - 2.38	2.72 - 2.0	37%	40%	2,4,3,1,1,7,1,2,8,5	33%	'+130	-160
Kawhi Leonard	SF	33	-200	H	LAC	NO	23rd	ast	4.5	3.9	4.14 - 3.5	3.9 - 3.92	33%	60%	6,5,2,5,2,4,4,0,5,2	41%	'+105	-135
Aaron Gordon	PF	30	-135	H	DEN	MIL	10th	ast	3.5	2.9	3.12 - 2.42	2.89 - 2.91	31%	20%	1,2,7,1,3,2,3,2,5,0	22%	'+140	-175
