NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Kevin Durant	PF	35	-195	H	PHX	MIN	2nd	blk	0.5	1.5	1.28 - 1.92	1.42 - 1.56	83%	73%	100%	1,1,2,1,2,2,1,0,2,0	57%	-150	'+120
Ivica Zubac	C	28	-120	A	LAC	MEM	26th	blk	0.5	1.3	1.33 - 1.26	1.35 - 1.25	71%	73%	40%	0,2,2,0,0,2,1,1,2,2	64%	-140	'+110
Jabari Smith Jr	PF	30	'+440	A	HOU	BKN	1st	blk	0.5	0.9	1.18 - 0.82	0.81 - 1.0	62%	53%	60%	1,0,1,0,1,0,1,1,1,2	0%	-115	-115
Shai Gilgeous Alexander	PG	35	-450	H	OKC	DET	20th	blk	0.5	1.0	1.19 - 0.81	0.86 - 1.17	61%	47%	40%	0,1,3,0,0,0,0,1,0,1	57%	-145	'+115
Jaden Mcdaniels	PF	30	'+165	A	MIN	PHX	10th	blk	0.5	0.9	1.08 - 0.8	0.86 - 1.03	60%	60%	40%	0,0,2,0,1,0,0,2,1,3	46%	'+105	-135
Jaren Jackson Jr	PF	28	'+100	H	MEM	LAC	8th	blk	2.5	3.1	3.24 - 2.7	2.33 - 3.68	59%	40%	40%	3,5,2,2,1,4,4,1,0,2	0%	-125	-105
Bam Adebayo	C	35	'+155	A	MIA	NY	5th	blk	0.5	0.9	0.81 - 0.91	0.88 - 0.84	58%	67%	60%	0,1,1,3,0,3,1,0,0,2	49%	-130	'+100
Anthony Davis	PF	33	-145	A	LAL	CHI	19th	blk	1.5	2.0	2.08 - 1.88	2.0 - 1.97	55%	60%	20%	1,0,0,4,1,0,1,4,2,2	67%	-160	'+130
Alperen Sengun	C	28	'+440	A	HOU	BKN	4th	blk	0.5	0.9	1.36 - 0.78	0.89 - 0.91	54%	53%	60%	1,1,0,0,1,0,2,1,2,0	62%	-135	'+105
Nic Claxton	C	29	-580	H	BKN	HOU	30th	blk	2.5	2.5	2.94 - 2.06	2.74 - 2.25	54%	60%	60%	4,3,3,1,1,2,1,0,4,4	31%	-140	'+110
Jalen Duren	C	24	'+360	A	DET	OKC	28th	blk	0.5	0.9	1.4 - 0.71	0.7 - 1.07	53%	53%	40%	0,0,1,0,1,2,2,1,0,0	0%	-140	'+110
Kyrie Irving	PG	36	'+150	A	DAL	PHI	14th	blk	0.5	0.8	0.61 - 1.0	0.7 - 0.86	52%	47%	80%	3,1,1,2,0,0,0,0,0,1	47%	'+115	-145
Deandre Ayton	C	30	-195	H	PHX	MIN	20th	blk	0.5	0.8	0.71 - 0.81	0.73 - 0.79	52%	73%	40%	0,1,0,0,2,1,1,0,1,2	50%	-140	'+110
Patrick Beverley	PG	27	'+125	H	CHI	LAL	13th	blk	0.5	0.6	0.71 - 0.5	0.72 - 0.48	51%	73%	60%	1,0,1,0,1,0,1,2,1,1	59%	'+105	-135
Giannis Antetokounmpo	PF	32	-625	A	MIL	IND	26th	blk	0.5	0.8	0.86 - 0.53	0.79 - 0.77	51%	47%	40%	0,0,1,2,0,1,0,3,1,1	72%	-150	'+120
Mitchell Robinson	C	27	-180	H	NY	MIA	2nd	blk	1.5	1.7	1.65 - 1.74	1.58 - 1.79	50%	40%	80%	3,3,3,2,1,1,1,2,0,1	48%	'+135	-165
Zach Collins	PF	22	-165	H	SA	UTAH	24th	blk	0.5	0.7	1.0 - 0.6	0.54 - 0.88	50%	60%	80%	0,1,2,1,3,0,0,1,2,1	52%	-165	'+135
Marvin Bagley Iii	PF	23	'+360	A	DET	OKC	22nd	blk	0.5	0.8	0.67 - 0.77	0.89 - 0.61	49%	53%	40%	0,0,2,1,0,0,0,2,3,1	0%	-130	'+100
Anthony Edwards	SG	36	'+165	A	MIN	PHX	5th	blk	0.5	0.7	0.68 - 0.75	0.78 - 0.65	48%	53%	20%	0,0,0,0,2,3,0,0,2,2	47%	'+105	-135
Mikal Bridges	SF	35	-580	H	BKN	HOU	28th	blk	0.5	0.8	0.97 - 0.56	0.95 - 0.56	47%	27%	20%	1,0,0,0,0,0,4,0,0,0	43%	'+125	-155
Brook Lopez	C	30	-625	A	MIL	IND	25th	blk	2.5	2.5	2.81 - 1.75	2.43 - 2.61	44%	47%	20%	2,1,7,2,2,1,3,5,9,3	28%	'+110	-140
