NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Lamelo Ball	PG	33	'+175	A	CHA	POR	8th	3ptm	3.5	4.4	4.5 - 4.33	3.6 - 5.67	88%	100%	4,5,4,7,5,5,4	37%	-120	-110
Kyrie Irving	PG	36	'+105	A	BKN	CLE	6th	reb+ast	7.5	9.3	9.0 - 9.67	8.38 - 9.79	73%	100%	9,8,11,14,14,13,10	82%	-140	'+110
Nic Claxton	C	27	'+105	A	BKN	CLE	5th	blk	1.5	2.3	2.82 - 1.67	2.53 - 2.14	72%	100%	2,3,6,2,3,2,3	44%	-105	-125
Devin Vassell	SG	31	-190	H	SA	UTAH	23rd	stl	0.5	1.1	1.57 - 0.94	1.25 - 1.0	72%	100%	3,1,1,3,3,3,0	64%	-235	'+190
Nic Claxton	C	27	'+105	A	BKN	CLE	16th	stl+blk	2.5	3.0	3.65 - 2.17	3.33 - 2.71	69%	100%	3,3,7,3,4,3,3	40%	'+110	-140
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+reb+ast	31.5	35.4	36.46 - 33.89	37.12 - 34.43	68%	100%	47,40,35,47,47,31,37	62%	-135	'+105
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+ast	27.5	30.6	32.08 - 28.56	32.25 - 29.71	68%	100%	41,37,29,36,42,23,32	59%	-115	-115
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts	23.5	26.1	27.46 - 24.22	28.75 - 24.64	64%	100%	38,32,24,33,33,18,27	59%	-125	-105
Kyrie Irving	PG	36	'+105	A	BKN	CLE	2nd	pts+reb	27.5	30.9	31.85 - 29.56	33.62 - 29.36	64%	100%	44,35,30,44,38,26,32	56%	-115	-115
Kevin Porter Jr	SG	34	'+250	A	HOU	CHI	12th	stl+blk	1.5	2.0	2.11 - 1.9	1.62 - 2.36	63%	100%	4,3,2,5,2,3,1	48%	-110	-120
