NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Jaylen Brown	SG	36	-190	A	BOS	SAC	15th	pts+ast	29.5	30.1	29.45 - 31.45	30.38 - 29.87	62%	100%	31,32,36,45,31,14,41	41%	-120	-110
Shai Gilgeous Alexander	PG	35	'+215	A	OKC	LAC	17th	pts+ast	35.5	36.9	38.47 - 35.33	36.42 - 37.41	62%	80%	44,32,39,37,39,42,46	31%	-130	'+100
Jayson Tatum	SF	37	-190	A	BOS	SAC	28th	pts+ast	33.5	34.7	36.4 - 30.7	33.32 - 36.12	58%	40%	21,38,24,28,40,32,46	37%	-105	-125
Darius Garland	PG	35	-150	A	CLE	BKN	4th	pts+ast	28.5	29.8	30.2 - 29.26	27.77 - 31.81	55%	60%	33,20,26,34,32,29,28	49%	-115	-115
Domantas Sabonis	PF	34	'+160	H	SAC	BOS	3rd	pts+ast	25.5	26.3	26.95 - 25.22	25.74 - 26.82	54%	60%	20,40,29,24,38,21,34	30%	-130	'+100
Marcus Smart	PG	32	-190	A	BOS	SAC	22nd	pts+ast	16.5	17.8	18.08 - 17.0	17.07 - 18.56	54%	40%	21,14,8,17,11,16,17	57%	-105	-125
Deaaron Fox	PG	34	'+160	H	SAC	BOS	13th	pts+ast	31.5	31.6	31.7 - 31.54	31.7 - 31.59	53%	60%	44,19,23,33,38,24,30	30%	-115	-115
Luguentz Dort	SF	30	'+215	A	OKC	LAC	2nd	pts+ast	15.5	16.2	17.53 - 14.94	14.63 - 17.65	53%	40%	21,15,25,14,13,7,19	63%	-115	-115
Nic Claxton	C	29	'+130	H	BKN	CLE	3rd	pts+ast	13.5	14.3	15.09 - 13.52	14.14 - 14.6	52%	100%	20,15,14,25,14,19,11	51%	-110	-120
Franz Wagner	SF	32	-105	H	ORL	WSH	14th	pts+ast	21.5	22.2	22.29 - 22.21	20.46 - 24.18	52%	60%	28,24,18,15,23,25,27	34%	-110	-120
Paolo Banchero	PF	33	-105	H	ORL	WSH	10th	pts+ast	24.5	23.6	25.04 - 22.64	23.53 - 23.68	52%	40%	24,18,21,27,26,28,23	0%	-110	-120
Donovan Mitchell	SG	35	-150	A	CLE	BKN	23rd	pts+ast	30.5	32.0	32.62 - 30.82	32.2 - 31.74	52%	20%	21,24,26,46,22,44,24	61%	-115	-115
Monte Morris	PG	27	-115	A	WSH	ORL	20th	pts+ast	14.5	15.4	14.65 - 15.97	15.13 - 15.65	51%	40%	10,15,17,12,14,10,14	55%	-120	-110
Harrison Barnes	SF	32	'+160	H	SAC	BOS	13th	pts+ast	15.5	16.6	18.07 - 14.29	15.83 - 17.34	51%	40%	18,13,13,18,14,19,11	68%	-120	-110
Clint Capela	C	26	-1050	H	ATL	DET	18th	pts+ast	12.5	12.8	12.0 - 13.65	13.67 - 11.93	51%	20%	16,8,10,12,8,14,13	40%	-120	-110
Al Horford	C	30	-190	A	BOS	SAC	20th	pts+ast	11.5	12.8	14.13 - 9.82	11.33 - 13.94	50%	80%	22,16,5,12,22,26,9	62%	-120	-110
Deandre Hunter	SF	31	-1050	H	ATL	DET	23rd	pts+ast	17.5	17.0	16.94 - 17.04	17.1 - 16.87	49%	40%	14,15,17,18,18,15,18	34%	-125	-105
Keegan Murray	SF	29	'+160	H	SAC	BOS	13th	pts+ast	13.5	13.0	14.12 - 11.22	12.06 - 14.0	49%	40%	23,21,11,10,7,1,13	0%	-105	-125
Wendell Carter Jr	C	30	-105	H	ORL	WSH	22nd	pts+ast	18.5	18.0	18.33 - 17.75	18.48 - 17.41	45%	80%	16,29,19,19,29,14,19	39%	-120	-110
Josh Giddey	SG	30	'+215	A	OKC	LAC	2nd	pts+ast	22.5	22.3	24.3 - 20.64	21.82 - 22.79	45%	40%	22,14,25,20,23,15,34	20%	-120	-110
Kristaps Porzingis	C	32	-115	A	WSH	ORL	14th	pts+ast	25.5	25.4	24.76 - 25.89	23.86 - 26.87	45%	20%	23,22,10,22,48,26,29	51%	-125	-105
Cj Mccollum	SG	35	'+550	H	NO	SA	28th	pts+ast	28.5	27.0	27.43 - 26.68	25.58 - 28.39	44%	60%	31,20,22,33,34,37,17	49%	-125	-105
John Collins	PF	30	-1050	H	ATL	DET	13th	pts+ast	14.5	14.0	14.29 - 13.77	14.03 - 14.03	44%	40%	16,22,8,12,10,14,19	67%	-110	-120
Keldon Johnson	SF	32	-750	A	SA	NO	17th	pts+ast	25.5	24.7	27.88 - 23.5	23.32 - 25.84	43%	60%	34,21,29,29,13,28,21	14%	-120	-110
Ivica Zubac	C	29	-255	H	LAC	OKC	15th	pts+ast	12.5	11.6	12.24 - 10.72	11.68 - 11.47	42%	80%	16,16,21,8,18,8,13	61%	-115	-115
Herbert Jones	SF	29	'+550	H	NO	SA	20th	pts+ast	12.5	12.1	11.48 - 12.53	12.9 - 11.19	42%	60%	16,10,21,23,5,16,21	40%	-115	-115
Evan Mobley	PF	34	-150	A	CLE	BKN	1st	pts+ast	20.5	18.9	19.37 - 18.11	19.0 - 18.75	41%	60%	23,18,28,21,14,21,26	28%	-110	-120
Kawhi Leonard	SF	33	-255	H	LAC	OKC	8th	pts+ast	32.5	27.6	28.29 - 26.4	26.86 - 28.36	37%	60%	26,35,40,28,38,21,28	27%	-115	-115
Bradley Beal	SG	33	-115	A	WSH	ORL	4th	pts+ast	32.5	28.7	29.33 - 28.16	29.38 - 28.0	33%	20%	22,27,43,17,32,32,39	13%	-110	-120
Paul George	SG	34	-255	H	LAC	OKC	21st	pts+ast	31.5	29.0	31.41 - 25.74	28.97 - 29.12	33%	20%	33,31,31,30,27,45,36	41%	-110	-120
Jalen Williams	F	29	'+215	A	OKC	LAC	25th	pts+ast	18.5	16.7	17.31 - 16.12	14.84 - 18.52	32%	60%	10,18,26,31,19,37,24	0%	-115	-115
Trey Murphy Iii	SG	30	'+550	H	NO	SA	28th	pts+ast	17.5	14.8	17.1 - 12.84	13.49 - 16.15	31%	40%	15,15,21,42,17,18,21	24%	-115	-115
Killian Hayes	PG	27	'+700	A	DET	ATL	11th	pts+ast	20.5	15.8	16.0 - 15.8	15.65 - 16.03	30%	80%	24,17,27,21,30,6,10	7%	-110	-120
Markelle Fultz	PG	30	-105	H	ORL	WSH	15th	pts+ast	22.5	19.7	18.21 - 21.04	21.15 - 18.08	27%	40%	22,32,34,19,20,31,20	0%	-105	-125
Jaden Ivey	PG	30	'+700	A	DET	ATL	11th	pts+ast	23.5	20.2	19.2 - 20.53	18.74 - 21.61	27%	40%	16,20,22,38,26,12,20	0%	'+100	-130
Brandon Ingram	SF	33	'+550	H	NO	SA	20th	pts+ast	33.5	28.2	31.2 - 25.89	29.67 - 26.62	26%	40%	35,37,28,17,31,21,45	28%	-105	-125
