NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Marcus Morris Sr	SF	28	-255	H	LAC	OKC	12th	pts+reb	11.5	15.5	15.06 - 16.0	15.69 - 15.3	74%	40%	11,16,2,16,6,7,5	84%	-115	-115
Jayson Tatum	SF	37	-190	A	BOS	SAC	27th	pts+reb	36.5	38.9	40.79 - 34.4	37.21 - 40.61	64%	40%	18,46,34,30,49,37,51	43%	-120	-110
Franz Wagner	SF	32	-105	H	ORL	WSH	10th	pts+reb	21.5	22.7	22.61 - 22.81	21.49 - 24.09	62%	80%	29,24,26,13,25,25,24	41%	-125	-105
Darius Garland	PG	35	-150	A	CLE	BKN	9th	pts+reb	23.5	24.7	24.66 - 24.7	23.29 - 26.06	56%	60%	28,17,22,34,25,22,24	51%	-125	-105
Jaylen Brown	SG	36	-190	A	BOS	SAC	19th	pts+reb	32.5	33.6	32.58 - 35.7	33.9 - 33.35	55%	60%	29,33,45,48,29,14,45	45%	-115	-115
Donovan Mitchell	SG	35	-150	A	CLE	BKN	25th	pts+reb	30.5	31.5	32.33 - 30.05	31.93 - 31.1	54%	20%	26,27,26,45,22,51,23	51%	-120	-110
Shai Gilgeous Alexander	PG	35	'+215	A	OKC	LAC	20th	pts+reb	36.5	36.2	37.53 - 34.83	35.52 - 36.9	53%	60%	45,32,42,41,36,45,47	17%	-105	-125
John Collins	PF	30	-1050	H	ATL	DET	16th	pts+reb	18.5	19.4	19.84 - 19.0	19.68 - 19.17	52%	60%	20,27,11,20,11,19,18	71%	-120	-110
Domantas Sabonis	PF	34	'+160	H	SAC	BOS	8th	pts+reb	31.5	31.6	32.17 - 30.67	32.2 - 30.94	52%	60%	23,39,45,31,40,25,37	39%	'+100	-130
Luguentz Dort	SF	30	'+215	A	OKC	LAC	4th	pts+reb	18.5	18.4	19.59 - 17.16	16.7 - 19.85	52%	40%	23,18,33,16,10,7,26	57%	-105	-125
