NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Kentavious Caldwell Pope	SG	31	-275	A	DEN	WSH	11th	pts	8.5	11.1	12.04 - 8.95	10.41 - 11.69	70%	20%	8,4,20,3,8,13,5	76%	-115	-115
Quentin Grimes	SG	28	'+100	A	NY	MIA	5th	pts	6.5	9.7	10.28 - 8.92	9.73 - 9.69	66%	40%	3,9,4,5,7,19,12	0%	-115	-115
Demar Derozan	SF	36	'+130	H	CHI	PHI	2nd	pts	22.5	25.4	25.03 - 25.84	26.0 - 24.88	62%	100%	25,24,49,33,27,17,23	62%	-115	-115
Rj Barrett	SG	34	'+100	A	NY	MIA	5th	pts	17.5	19.8	19.97 - 19.48	19.09 - 20.42	61%	60%	13,21,22,30,11,25,27	56%	-125	-105
Nikola Jokic	C	33	-275	A	DEN	WSH	26th	pts	23.5	24.7	24.22 - 25.95	24.9 - 24.58	58%	80%	22,24,30,28,35,37,18	69%	-135	'+105
Michael Porter Jr	SF	29	-275	A	DEN	WSH	13th	pts	16.5	17.2	18.54 - 14.56	17.36 - 17.11	58%	60%	28,11,15,23,23,7,12	25%	-120	-110
Alperen Sengun	C	28	'+650	A	HOU	MEM	8th	pts	13.5	14.6	15.07 - 14.53	14.16 - 15.12	58%	40%	9,17,13,10,14,16,15	44%	-105	-125
Nikola Vucevic	C	34	'+130	H	CHI	PHI	5th	pts	16.5	17.8	18.62 - 16.97	18.29 - 17.25	54%	80%	21,13,21,20,18,25,12	58%	-115	-115
Bam Adebayo	C	35	-120	H	MIA	NY	1st	pts	19.5	21.1	22.72 - 19.19	21.33 - 20.8	53%	60%	22,23,26,16,14,19,17	51%	'+100	-130
Stephen Curry	PG	34	-130	A	GS	DAL	9th	pts	29.5	29.8	30.13 - 29.5	30.54 - 28.9	53%	60%	30,16,31,50,23,36,29	30%	-105	-125
Tyler Herro	PG	35	-120	H	MIA	NY	23rd	pts	19.5	20.2	18.81 - 21.85	20.67 - 19.72	53%	20%	19,15,24,18,14,25,22	54%	-115	-115
Pascal Siakam	PF	37	-340	H	TOR	IND	18th	pts	23.5	24.1	25.43 - 22.81	23.29 - 24.87	52%	40%	13,27,25,12,12,20,19	39%	-115	-115
Giannis Antetokounmpo	PF	32	'+1000	H	MIL	SA	28th	pts	31.5	31.2	32.17 - 28.5	28.96 - 33.38	52%	40%	22,25,36,46,23,34,31	42%	-115	-115
Anthony Davis	PF	33	-115	H	LAL	PHX	2nd	pts	25.5	25.8	27.48 - 24.17	27.95 - 24.19	50%	40%	15,26,35,17,8,30,39	24%	-125	-105
Chris Paul	PG	32	-105	A	PHX	LAL	29th	pts	14.5	13.5	14.35 - 12.67	13.8 - 13.28	50%	40%	14,16,11,11,16,18,11	50%	-120	-110
Klay Thompson	SG	33	-130	A	GS	DAL	3rd	pts	21.5	22.0	25.53 - 18.1	18.93 - 24.78	49%	40%	29,14,15,15,38,22,14	37%	-115	-115
Joel Embiid	C	35	-150	A	PHI	CHI	14th	pts	33.5	33.6	34.33 - 31.95	32.92 - 34.06	48%	80%	37,31,38,36,34,39,39	38%	-120	-110
Troy Brown Jr	SF	24	-115	H	LAL	PHX	1st	pts	7.5	7.3	7.59 - 7.0	7.7 - 6.88	48%	60%	12,6,8,8,3,5,13	0%	-115	-115
Jalen Brunson	PG	34	'+100	A	NY	MIA	4th	pts	23.5	23.8	24.65 - 22.56	22.59 - 24.74	47%	60%	23,24,19,25,39,17,20	20%	-105	-125
Kevin Porter Jr	SG	34	'+650	A	HOU	MEM	20th	pts	18.5	18.7	19.33 - 18.4	17.45 - 19.64	46%	60%	17,25,20,27,14,15,8	38%	-105	-125
Og Anunoby	SF	35	-340	H	TOR	IND	20th	pts	16.5	16.8	17.79 - 15.83	15.27 - 18.39	45%	80%	22,15,17,24,31,18,12	43%	-120	-110
Fred Vanvleet	SG	36	-340	H	TOR	IND	30th	pts	20.5	19.6	20.9 - 18.35	19.43 - 19.73	45%	60%	23,28,19,36,8,13,21	37%	-105	-125
Draymond Green	PF	31	-130	A	GS	DAL	30th	pts	8.5	8.4	8.38 - 8.33	9.27 - 7.56	45%	20%	8,11,8,4,5,16,11	43%	-125	-105
Desmond Bane	SG	31	-950	H	MEM	HOU	24th	pts	21.5	21.1	22.13 - 19.28	21.12 - 21.04	43%	40%	17,26,21,11,23,25,21	38%	-125	-105
Kevon Looney	C	23	-130	A	GS	DAL	7th	pts	7.5	7.2	7.54 - 6.92	7.08 - 7.39	42%	80%	11,10,18,6,9,7,2	41%	-130	'+100
Zach Lavine	SG	36	'+130	H	CHI	PHI	23rd	pts	25.5	25.0	26.45 - 23.68	26.84 - 23.5	42%	60%	26,18,39,25,36,29,42	56%	-105	-125
Jaren Jackson Jr	PF	28	-950	H	MEM	HOU	1st	pts	18.5	17.7	18.79 - 15.75	17.0 - 18.29	41%	80%	28,31,28,25,7,14,21	0%	-125	-105
Jalen Green	SG	34	'+650	A	HOU	MEM	20th	pts	23.5	21.9	26.25 - 20.54	19.63 - 23.83	41%	60%	20,40,25,11,28,18,24	22%	-105	-125
Jimmy Butler	SF	33	-120	H	MIA	NY	30th	pts	24.5	22.7	22.48 - 22.89	21.64 - 23.63	40%	40%	26,24,23,24,38,33,28	38%	-110	-120
