NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Alperen Sengun	C	28	'+650	A	HOU	NY	2nd	reb+ast	10.5	12.5	14.07 - 12.09	11.66 - 13.39	68%	80%	80%	12,7,12,13,12,15,10,11,14,17	56%	-125	-105
Julius Randle	PF	35	-950	H	NY	HOU	19th	reb+ast	12.5	14.3	13.95 - 14.67	14.37 - 14.16	67%	47%	60%	13,15,5,11,14,13,11,15,11,13	75%	-125	-105
Deaaron Fox	PG	33	-280	H	SAC	MIN	24th	reb+ast	9.5	10.2	10.85 - 9.2	10.03 - 10.39	64%	53%	40%	3,4,11,9,11,4,11,10,10,9	41%	-110	-120
Jalen Duren	C	24	'+600	H	DET	MIL	14th	reb+ast	8.5	9.8	10.27 - 9.7	9.0 - 10.72	61%	73%	60%	9,1,17,8,14,12,11,8,9,5	0%	-125	-105
Jamal Murray	PG	33	-280	H	DEN	PHI	2nd	reb+ast	9.5	10.2	10.66 - 9.16	10.0 - 10.33	58%	67%	80%	15,14,9,10,16,11,4,13,8,6	0%	-125	-105
Jrue Holiday	PG	32	-850	A	MIL	DET	29th	reb+ast	11.5	12.1	11.72 - 13.38	12.6 - 11.72	58%	47%	40%	9,12,10,7,18,11,14,17,10,9	45%	'+110	-140
Jabari Smith Jr	PF	30	'+650	A	HOU	NY	2nd	reb+ast	7.5	8.3	8.88 - 8.13	8.37 - 8.24	56%	47%	40%	5,8,7,13,4,9,7,14,12,15	0%	-140	'+110
Aaron Gordon	PF	30	-280	H	DEN	PHI	18th	reb+ast	8.5	9.4	9.16 - 9.95	9.61 - 9.24	56%	60%	40%	8,2,6,12,9,4,6,9,11,11	40%	-130	'+100
James Harden	SG	36	'+235	A	PHI	DEN	4th	reb+ast	16.5	17.2	17.5 - 16.53	17.0 - 17.34	55%	53%	80%	19,21,18,16,17,29,19,17,12,18	47%	-130	'+100
Ivica Zubac	C	28	-190	H	LAC	CHI	5th	reb+ast	9.5	11.1	11.55 - 10.48	11.29 - 10.86	55%	60%	60%	7,11,4,12,16,18,6,9,11,10	70%	-120	-110
