NAME	POS	AVG MIN	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Stephen Curry	PG	34	-360	H	GS	NO	7th	reb	5.5	6.2	6.24 - 6.2	6.7 - 5.65	66%	73%	80%	6,8,5,7,8,6,2,7,6,7	41%	-130	'+100
Dillon Brooks	SF	30	-275	H	MEM	ORL	1st	reb	2.5	3.2	3.05 - 3.58	3.48 - 3.0	64%	73%	60%	2,1,4,3,5,2,3,5,4,1	0%	-155	'+125
Dejounte Murray	SG	36	-135	H	ATL	CLE	1st	reb	4.5	5.3	5.76 - 4.88	5.18 - 5.46	63%	53%	60%	2,2,6,7,5,4,7,4,4,5	94%	-110	-120
Onyeka Okongwu	PF	23	-135	H	ATL	CLE	6th	reb	6.5	7.2	7.03 - 7.42	7.31 - 7.14	62%	60%	80%	7,6,7,8,7,7,14,8,8,4	49%	-135	'+105
Trae Young	PG	34	-135	H	ATL	CLE	1st	reb	2.5	3.1	2.89 - 3.24	2.6 - 3.55	62%	67%	60%	2,3,2,3,4,6,6,3,2,4	76%	-175	'+140
Malcolm Brogdon	PG	25	-580	A	BOS	WSH	16th	reb	3.5	4.2	4.37 - 3.89	4.28 - 4.17	60%	60%	60%	5,3,5,6,2,4,9,4,2,2	49%	-125	-105
Deandre Hunter	SF	31	-135	H	ATL	CLE	2nd	reb	3.5	4.2	4.15 - 4.33	3.78 - 4.69	59%	47%	80%	5,4,6,5,3,2,3,7,1,4	36%	-150	'+120
Fred Vanvleet	SG	36	-205	H	TOR	MIA	7th	reb	3.5	4.2	3.94 - 4.38	4.17 - 4.15	59%	47%	40%	4,3,2,4,3,5,3,4,4,1	69%	-125	-105
Marcus Smart	PG	32	-580	A	BOS	WSH	16th	reb	2.5	3.2	3.1 - 3.38	3.2 - 3.15	58%	40%	20%	3,1,2,2,2,2,1,0,3,3	72%	-145	'+115
Jalen Suggs	SG	23	'+230	A	ORL	MEM	25th	reb	2.5	2.9	3.28 - 2.68	2.87 - 2.96	57%	60%	60%	2,4,1,5,3,2,4,5,5,5	65%	-165	'+135
