TEAM	PPG	PPGA	OVERS	OVERS AVG	TT OVERS	TT AVG	TT EVEN %
MIL	113.1	113.1	180,250,220,238,246,220,232	226.2	90,125,110,119,123,110,116	113.1	50.0
CLE	110.9	110.9	210,256,234,206,264,242,228	221.8	105,128,117,103,132,121,114	110.9	59.4
-	-	-	-	-	-	-	-
DET	111.3	111.3	226,212,230,198,226,224,256	222.6	113,106,115,99,113,112,128	111.3	48.5
PHI	111.2	111.2	234,176,210,240,218,224,228	222.3	117,88,105,120,109,112,114	111.2	37.9
-	-	-	-	-	-	-	-
CHI	113.2	113.2	232,200,192,240,248,248,218	226.4	116,100,96,120,124,124,109	113.2	53.3
ATL	114.3	114.3	234,216,218,236,272,230,218	228.6	117,108,109,118,136,115,109	114.3	45.2
-	-	-	-	-	-	-	-
IND	114.6	114.6	214,268,248,212,218,254,250	229.2	107,134,124,106,109,127,125	114.6	45.2
BOS	118.2	118.2	252,222,252,204,246,224,226	236.4	126,111,126,102,123,112,113	118.2	48.4
-	-	-	-	-	-	-	-
GS	116.6	116.6	246,246,260,210,246,226,228	233.2	123,123,130,105,123,113,114	116.6	34.4
BKN	113.1	113.1	216,218,248,198,250,232,232	226.1	108,109,124,99,125,116,116	113.1	58.1
-	-	-	-	-	-	-	-
TOR	111.1	111.1	216,210,218,196,238,180,278	222.2	108,105,109,98,119,90,139	111.1	48.4
NY	114.7	114.7	224,260,230,268,216,216,198	229.4	112,130,115,134,108,108,99	114.7	54.8
-	-	-	-	-	-	-	-
ORL	109.4	109.4	218,196,240,204,184,226,210	218.8	109,98,120,102,92,113,105	109.4	53.1
HOU	109.5	109.5	214,244,210,228,202,222,218	219.1	107,122,105,114,101,111,109	109.5	40.0
-	-	-	-	-	-	-	-
DAL	111.2	111.2	210,274,222,258,222,228,206	222.3	105,137,111,129,111,114,103	111.2	35.5
MIN	115.5	115.5	230,252,232,212,268,222,196	230.9	115,126,116,106,134,111,98	115.5	58.1
-	-	-	-	-	-	-	-
POR	112.6	112.6	230,226,212,270,196,250,212	225.2	115,113,106,135,98,125,106	112.6	54.8
OKC	115.5	115.5	216,234,212,216,236,234,232	231.1	108,117,106,108,118,117,116	115.5	54.8
-	-	-	-	-	-	-	-
LAL	115.1	115.1	218,194,208,198,204,242,240	230.2	109,97,104,99,102,121,120	115.1	56.7
SAC	117.8	117.8	216,218,250,220,238,230,214	235.7	108,109,125,110,119,115,107	117.8	41.4
-	-	-	-	-	-	-	-
CHA	110.8	110.8	258,224,252,262,186,240,216	221.5	129,112,126,131,93,120,108	110.8	54.8
LAC	107.0	107.0	206,222,190,188,220,182,190	214.0	103,111,95,94,110,91,95	107.0	43.8
-	-	-	-	-	-	-	-
