NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Jonas Siegenthaler	NJ	-130	A	bs	1.5	1.92	1.86 - 1.91	1.94 - 1.89	60%	60%	60%	3,0,3,5,0,3,4,3,1,2	0%	-150	'+120
Adam Larsson	SEA	'+100	A	bs	1.5	2.15	2.14 - 1.95	2.11 - 2.2	58%	53%	60%	2,1,7,1,5,2,4,1,3,1	0%	-185	'+150
Devon Toews	COL	-275	A	bs	1.5	1.8	1.81 - 1.84	2.0 - 1.61	56%	60%	80%	2,1,4,2,3,3,4,3,0,1	0%	'+105	-135
Scott Mayfield	NYI	'+110	H	bs	1.5	2.03	1.82 - 2.0	2.14 - 1.92	55%	60%	80%	2,2,2,1,2,4,0,0,3,1	0%	-175	'+140
Simon Benoit	ANA	'+230	H	bs	1.5	1.7	1.44 - 1.78	1.82 - 1.57	55%	47%	20%	1,0,0,1,2,3,2,2,2,2	0%	-135	'+105
Ryan Graves	NJ	-130	A	bs	1.5	1.94	1.82 - 1.73	1.94 - 1.94	53%	53%	60%	4,1,2,0,3,3,0,1,3,2	0%	-160	'+130
David Savard	MTL	'+150	A	bs	2.5	2.88	3.68 - 2.17	2.82 - 2.94	52%	53%	60%	6,1,3,3,2,4,2,1,3,3	0%	-130	'+100
Adam Pelech	NYI	'+110	H	bs	1.5	1.79	1.74 - 1.79	1.85 - 1.74	51%	60%	60%	4,3,4,1,1,0,5,2,2,1	0%	-180	'+145
Rasmus Dahlin	BUF	-175	H	bs	1.5	1.69	2.06 - 1.21	2.21 - 1.2	51%	47%	40%	2,1,2,0,1,3,2,2,0,2	0%	'+115	-145
Darnell Nurse	EDM	-315	A	bs	1.5	1.99	1.97 - 1.93	1.89 - 2.08	51%	53%	40%	1,3,1,1,2,1,4,3,2,0	0%	-130	'+100
Radko Gudas	FLA	-150	A	bs	1.5	1.71	1.47 - 1.95	1.52 - 1.91	49%	40%	20%	2,0,1,0,0,2,0,2,4,1	0%	-120	-110
Joel Edmundson	MTL	'+150	A	bs	2.5	2.58	2.88 - 2.18	2.54 - 2.62	48%	27%	40%	3,1,2,3,0,2,2,3,1,3	0%	'+150	-185
Jake Sanderson	OTT	'+130	H	bs	1.5	1.82	1.79 - 1.77	1.74 - 1.91	47%	60%	60%	1,1,3,5,4,4,0,4,2,2	0%	-185	'+150
Samuel Girard	COL	-275	A	bs	1.5	1.55	1.55 - 1.43	1.25 - 1.82	47%	40%	60%	3,0,4,1,3,2,1,2,0,1	0%	'+110	-140
Jamie Oleksiak	SEA	'+100	A	bs	1.5	1.58	1.72 - 1.3	1.65 - 1.52	46%	40%	60%	2,2,1,0,4,1,3,1,3,2	0%	-120	-110
Scott Harrington	ANA	'+230	H	bs	1.5	1.75	3.24 - 1.03	3.0 - 1.33	42%	42%	60%	2,1,1,3,4,1,0,7,2,0	0%	-165	'+135
Ilya Lyubushkin	BUF	-175	H	bs	1.5	1.43	1.4 - 1.48	1.39 - 1.47	41%	40%	20%	0,1,3,1,1,4,1,1,1,2	0%	'+110	-140
Jared Spurgeon	MIN	-120	H	bs	2.5	2.39	2.33 - 2.17	2.66 - 2.14	38%	47%	20%	1,1,1,3,0,1,3,3,7,4	0%	'+130	-160
Juuso Valimaki	ARI	'+260	H	bs	1.5	1.27	1.05 - 1.18	1.31 - 1.23	36%	67%	60%	2,5,2,1,1,1,2,2,5,4	0%	-175	'+140
Travis Hamonic	OTT	'+130	H	bs	2.5	1.92	2.16 - 1.56	2.03 - 1.81	33%	33%	60%	1,2,4,3,3,0,2,4,1,2	0%	'+120	-150
Jonas Brodin	MIN	-120	H	bs	2.5	2.09	1.87 - 2.38	2.48 - 1.75	32%	27%	20%	1,3,0,0,2,1,1,4,2,2	0%	'+135	-165
Patrik Nemeth	ARI	'+260	H	bs	2.5	1.6	1.69 - 1.39	1.65 - 1.56	25%	33%	20%	1,2,4,2,2,3,5,0,2,2	0%	'+150	-185
