NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Aaron Ekblad	FLA	'+125	A	sog	2.5	3.06	2.92 - 3.01	2.55 - 3.56	56%	4,2,2,0,0,4,5,2,4,4	56%	-145	'+115
Aaron Ekblad	FLA	'+125	A	pts	0.5	0.49	0.6 - 0.34	0.48 - 0.5	35%	1,0,0,0,0,0,2,0,0,0	53%	'+160	-195
Aaron Ekblad	FLA	'+125	A	ast	0.5	0.3	0.34 - 0.23	0.32 - 0.28	24%	1,0,0,0,0,0,0,0,0,0	41%	'+250	-320
Aaron Ekblad	FLA	'+125	A	g	0.5	0.19	0.27 - 0.11	0.16 - 0.22	16%	0,0,0,0,0,0,2,0,0,0	20%	'+400	0
Adam Pelech	NYI	-110	A	g	0.5	0.09	0.09 - 0.09	0.12 - 0.07	9%	0,0,0,0,0,0,0,0,0,0	4%	'+850	0
Adam Pelech	NYI	-110	A	bs	2.5	1.83	1.79 - 1.79	1.85 - 1.82	22%	4,4,3,4,1,1,0,5,2,2	0%	'+135	-165
Aleksander Barkov	FLA	'+125	A	sog	3.5	3.15	3.28 - 2.96	2.69 - 3.58	45%	1,4,1,7,3,6,4,3,3,5	42%	'+130	-160
Aleksander Barkov	FLA	'+125	A	pts	1.5	1.1	1.59 - 0.63	0.83 - 1.35	32%	0,2,1,2,1,2,2,2,1,1	41%	'+150	-185
Aleksander Barkov	FLA	'+125	A	ast	0.5	0.77	1.12 - 0.47	0.66 - 0.87	53%	0,0,1,2,1,1,2,2,1,0	50%	-155	'+125
Aleksander Barkov	FLA	'+125	A	g	0.5	0.33	0.47 - 0.16	0.17 - 0.48	28%	0,2,0,0,0,1,0,0,0,1	42%	'+170	0
Aleksi Heponiemi	FLA	'+125	A	g	0.5	0.1	0.19 - 0.0	0.12 - 0.0	10%	0,0,0,0,1,0,0,0,0,0	0%	'+475	0
Alex Goligoski	MIN	'+135	A	g	0.5	0.05	0.09 - 0.0	0.06 - 0.04	5%	0,0,0,0,0,0,1,0,0,0	3%	'+800	0
Alex Newhook	COL	-155	H	g	0.5	0.18	0.21 - 0.08	0.19 - 0.16	15%	0,0,0,0,0,0,0,0,0,0	15%	'+310	0
Alex Ovechkin	WSH	-110	H	sog	3.5	4.19	4.25 - 4.07	4.31 - 4.06	56%	4,3,3,8,4,5,4,2,4,4	64%	-155	'+125
Alex Ovechkin	WSH	-110	H	pts	0.5	1.06	1.45 - 0.74	0.94 - 1.18	63%	1,2,1,3,1,2,1,0,1,3	77%	-220	'+180
Alex Ovechkin	WSH	-110	H	ast	0.5	0.44	0.6 - 0.3	0.31 - 0.58	35%	0,1,0,1,1,1,1,0,0,1	44%	'+135	-165
