NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
David Pastrnak	BOS	-295	H	g	0.5	0.7	0.77 - 0.45	0.67 - 0.73	57%	60%	1,1,0,0,1,0,1,1,1,0	37%	-135	0
Brayden Point	TB	-255	A	g	0.5	0.61	0.71 - 0.45	0.41 - 0.78	48%	0%	0,0,0,0,0,2,2,0,0,1	36%	-120	0
Auston Matthews	TOR	-120	A	g	0.5	0.52	0.67 - 0.32	0.4 - 0.62	47%	60%	0,1,0,1,1,1,0,0,0,2	54%	-115	0
Jason Robertson	DAL	-165	H	g	0.5	0.59	0.71 - 0.43	0.44 - 0.74	46%	40%	2,0,0,1,0,0,1,2,0,0	37%	'+105	0
Denis Gurianov	MTL	'+215	H	g	0.5	0.45	0.46 - 0.38	0.43 - 0.5	45%	80%	1,0,1,1,1,0,0,0,0,1	0%	'+265	0
William Nylander	TOR	-120	A	g	0.5	0.51	0.58 - 0.38	0.34 - 0.65	45%	40%	0,0,0,1,1,0,0,0,0,0	35%	'+150	0
Alex Ovechkin	WSH	-245	H	g	0.5	0.6	0.84 - 0.41	0.62 - 0.58	43%	40%	2,0,1,0,0,1,2,0,1,0	52%	-125	0
Elias Pettersson	VAN	'+115	H	g	0.5	0.49	0.75 - 0.27	0.51 - 0.47	42%	60%	1,1,1,0,0,0,1,1,0,0	33%	'+115	0
Jack Hughes	NJ	-175	H	g	0.5	0.56	0.71 - 0.36	0.59 - 0.53	42%	20%	0,0,0,0,1,0,0,0,0,0	46%	'+110	0
Tage Thompson	BUF	-150	H	g	0.5	0.61	1.01 - 0.26	0.65 - 0.57	42%	0%	0,0,0,0,0,0,0,0,1,0	38%	-110	0
Tim Stutzle	OTT	'+245	A	g	0.5	0.53	0.7 - 0.32	0.41 - 0.65	41%	60%	0,1,0,2,1,0,0,0,2,1	24%	'+200	0
Nico Hischier	NJ	-175	H	g	0.5	0.43	0.52 - 0.29	0.5 - 0.37	41%	40%	1,1,0,0,0,1,0,0,1,0	25%	'+180	0
Alex Tuch	BUF	-150	H	g	0.5	0.49	0.7 - 0.29	0.56 - 0.41	41%	40%	0,0,0,2,1,0,1,1,1,0	24%	'+135	0
Timo Meier	NJ	-175	H	g	0.5	0.52	0.48 - 0.49	0.53 - 0.5	41%	20%	0,0,2,0,0,0,0,0,1,0	35%	'+105	0
Mika Zibanejad	NYR	-115	H	g	0.5	0.53	0.78 - 0.19	0.47 - 0.58	40%	80%	1,1,1,2,0,0,0,0,0,1	33%	'+140	0
Andrei Kuzmenko	VAN	'+115	H	g	0.5	0.5	0.72 - 0.26	0.38 - 0.62	40%	60%	0,0,1,1,2,1,0,1,0,1	0%	'+160	0
Brendan Lemieux	PHI	'+145	H	g	0.5	0.4	0.0 - 0.6	1.0 - 0.25	40%	40%	1,0,0,1,0	0%	'+550	0
Jared Mccann	SEA	'+140	A	g	0.5	0.49	0.66 - 0.31	0.61 - 0.38	40%	20%	0,0,0,0,2,1,0,1,2,1	35%	'+155	0
Chris Kreider	NYR	-115	H	g	0.5	0.46	0.59 - 0.3	0.52 - 0.41	39%	80%	1,1,2,0,1,0,0,0,1,1	48%	'+165	0
Matthew Tkachuk	FLA	-170	A	g	0.5	0.49	0.68 - 0.32	0.44 - 0.55	39%	80%	1,1,1,2,0,0,0,0,0,0	41%	'+100	0
Carter Verhaeghe	FLA	-170	A	g	0.5	0.52	0.64 - 0.36	0.51 - 0.53	39%	40%	2,0,2,0,0,0,1,0,0,1	26%	'+100	0
Alex Chiasson	DET	'+120	A	g	0.5	0.38	0.44 - 0.27	0.5 - 0.25	38%	60%	0,0,1,1,1,0,0,0	0%	'+275	0
Martin Necas	CAR	-105	A	g	0.5	0.4	0.45 - 0.29	0.44 - 0.35	38%	40%	1,1,0,0,0,0,0,0,1,1	15%	'+195	0
Brady Tkachuk	OTT	'+245	A	g	0.5	0.43	0.63 - 0.23	0.37 - 0.49	37%	60%	0,2,1,1,0,0,0,0,0,0	32%	'+160	0
Jake Debrusk	BOS	-295	H	g	0.5	0.43	0.5 - 0.16	0.38 - 0.48	37%	60%	1,1,0,0,1,0,0,0,0,0	27%	'+140	0
Nick Schmaltz	ARI	'+250	A	g	0.5	0.41	0.7 - 0.25	0.25 - 0.56	37%	60%	0,0,1,1,1,0,0,1,1,1	27%	'+195	0
Eeli Tolvanen	SEA	'+140	A	g	0.5	0.37	0.5 - 0.19	0.26 - 0.5	37%	40%	1,0,1,0,0,1,0,0,0,0	14%	'+245	0
Jamie Benn	DAL	-165	H	g	0.5	0.41	0.45 - 0.33	0.42 - 0.41	37%	40%	0,0,1,1,0,1,1,0,1,0	20%	'+220	0
Roope Hintz	DAL	-165	H	g	0.5	0.52	0.63 - 0.35	0.39 - 0.65	37%	20%	0,0,0,0,1,1,1,0,3,1	35%	'+145	0
Mitchell Marner	TOR	-120	A	g	0.5	0.38	0.42 - 0.29	0.41 - 0.35	36%	60%	1,1,0,0,1,1,0,1,1,0	34%	'+200	0
Jordan Kyrou	STL	-140	H	g	0.5	0.47	0.78 - 0.21	0.65 - 0.31	36%	60%	0,1,0,1,3,0,0,0,1,0	33%	'+120	0
Jeff Skinner	BUF	-150	H	g	0.5	0.44	0.62 - 0.28	0.38 - 0.5	36%	20%	0,0,0,0,1,1,0,1,1,0	27%	'+145	0
Claude Giroux	OTT	'+245	A	g	0.5	0.4	0.46 - 0.35	0.37 - 0.43	36%	0%	0,0,0,0,0,1,1,0,0,1	25%	'+235	0
Patrice Bergeron	BOS	-295	H	g	0.5	0.38	0.47 - 0.12	0.36 - 0.39	35%	40%	1,1,0,0,0,1,0,1,1,0	31%	'+165	0
Nikita Kucherov	TB	-255	A	g	0.5	0.39	0.51 - 0.26	0.38 - 0.41	35%	40%	1,0,0,1,0,0,1,2,0,0	41%	'+140	0
Tyler Toffoli	CGY	-215	A	g	0.5	0.41	0.62 - 0.24	0.49 - 0.32	35%	40%	1,0,2,0,0,0,0,1,0,0	21%	'+155	0
John Tavares	TOR	-120	A	g	0.5	0.44	0.66 - 0.17	0.48 - 0.41	35%	20%	0,0,0,0,2,1,0,0,1,0	32%	'+175	0
Pavel Buchnevich	STL	-140	H	g	0.5	0.43	0.25 - 0.55	0.42 - 0.43	35%	20%	0,0,3,0,0,0,2,0,0,1	29%	'+165	0
Jack Eichel	VGK	-135	A	g	0.5	0.46	0.63 - 0.16	0.37 - 0.53	35%	20%	3,0,0,0,0,0,0,0,1,2	35%	'+130	0
Mark Scheifele	WPG	-300	H	g	0.5	0.54	0.77 - 0.24	0.53 - 0.54	35%	0%	0,0,0,0,0,2,0,0,1,1	35%	-110	0
Boone Jenner	CBJ	'+205	A	g	0.5	0.4	0.78 - 0.2	0.32 - 0.47	34%	60%	0,1,0,2,1,0,0,0,1,0	37%	'+200	0
Jt Miller	VAN	'+115	H	g	0.5	0.38	0.48 - 0.28	0.38 - 0.38	34%	60%	1,0,0,1,1,2,0,1,0,0	34%	'+195	0
Steven Stamkos	TB	-255	A	g	0.5	0.43	0.47 - 0.35	0.52 - 0.35	34%	40%	0,1,2,0,0,0,0,0,0,1	43%	'+105	0
Brock Nelson	NYI	'+100	H	g	0.5	0.42	0.66 - 0.16	0.53 - 0.31	34%	40%	0,2,0,0,1,0,0,0,1,0	39%	'+165	0
Dylan Larkin	DET	'+120	A	g	0.5	0.38	0.55 - 0.23	0.39 - 0.37	34%	40%	1,0,0,1,0,1,0,1,0,0	36%	'+155	0
Dylan Cozens	BUF	-150	H	g	0.5	0.38	0.58 - 0.19	0.42 - 0.34	34%	20%	0,0,0,1,0,0,1,1,0,0	15%	'+185	0
Clayton Keller	ARI	'+250	A	g	0.5	0.46	0.58 - 0.34	0.42 - 0.5	33%	80%	1,0,2,2,1,0,1,0,0,1	38%	'+180	0
Patrik Laine	CBJ	'+205	A	g	0.5	0.41	0.72 - 0.34	0.42 - 0.39	33%	40%	0,1,0,0,1,1,1,1,0,0	36%	'+170	0
Jesper Bratt	NJ	-175	H	g	0.5	0.43	0.55 - 0.27	0.49 - 0.37	33%	40%	3,0,0,0,2,0,0,0,0,1	29%	'+190	0
Brett Ritchie	ARI	'+250	A	g	0.5	0.33	0.42 - 0.0	0.0 - 0.4	33%	20%	0,0,0,1,0,1	0%	'+450	0
Pierre-Luc Dubois	WPG	-300	H	g	0.5	0.38	0.43 - 0.3	0.31 - 0.45	33%	0%	0,0,0,0,0,0,1,0,0,1	35%	'+130	0
Tom Wilson	WSH	-245	H	g	0.5	0.36	0.72 - 0.14	0.38 - 0.33	32%	20%	0,0,1,0,0,0,0,0,2,0	29%	'+190	0
Sam Reinhart	FLA	-170	A	g	0.5	0.37	0.47 - 0.25	0.31 - 0.43	31%	80%	0,2,1,1,1,0,0,0,0,0	33%	'+180	0
Brandon Hagel	TB	-255	A	g	0.5	0.38	0.54 - 0.1	0.29 - 0.46	31%	40%	0,3,0,1,0,1,0,0,0,0	22%	'+165	0
Josh Anderson	MTL	'+215	H	g	0.5	0.31	0.49 - 0.19	0.29 - 0.33	31%	40%	0,0,1,1,0,1,0,0,0,1	20%	'+220	0
Brad Marchand	BOS	-295	H	g	0.5	0.33	0.31 - 0.36	0.33 - 0.32	31%	0%	0,0,0,0,0,0,1,0,0,0	35%	'+140	0
Kirill Marchenko	CBJ	'+205	A	g	0.5	0.39	0.68 - 0.27	0.41 - 0.37	30%	40%	1,0,1,0,0,0,0,0,0,0	0%	'+220	0
Tj Oshie	WSH	-245	H	g	0.5	0.34	0.46 - 0.22	0.38 - 0.29	30%	40%	0,0,1,0,1,0,0,1,0,1	26%	'+145	0
Thomas Novak	NSH	'+130	A	g	0.5	0.35	0.53 - 0.06	0.47 - 0.22	30%	40%	0,0,0,1,2,1,0,0,0,0	4%	'+195	0
Nino Niederreiter	WPG	-300	H	g	0.5	0.33	0.4 - 0.26	0.42 - 0.24	30%	40%	0,0,0,1,1,0,1,1,0,0	29%	'+170	0
Troy Terry	ANA	'+185	H	g	0.5	0.32	0.41 - 0.25	0.3 - 0.33	30%	40%	0,1,0,1,0,1,0,0,1,1	42%	'+190	0
Joel Eriksson Ek	MIN	'+150	A	g	0.5	0.33	0.31 - 0.36	0.38 - 0.28	30%	20%	0,0,1,0,0,0,0,1,0,0	27%	'+215	0
Kyle Connor	WPG	-300	H	g	0.5	0.38	0.58 - 0.15	0.33 - 0.43	30%	0%	0,0,0,0,0,0,0,0,0,0	52%	'+105	0
Wyatt Johnston	DAL	-165	H	g	0.5	0.29	0.33 - 0.2	0.36 - 0.21	29%	80%	1,1,1,1,0,1,0,1,0,0	0%	'+300	0
Oskar Sundqvist	MIN	'+150	A	g	0.5	0.29	0.25 - 0.32	0.25 - 0.33	29%	40%	0,1,1,0,0,0,0	0%	'+425	0
Aleksander Barkov	FLA	-170	A	g	0.5	0.32	0.47 - 0.12	0.19 - 0.45	29%	20%	0,1,0,0,0,1,0,0,0,1	42%	'+150	0
Lawson Crouse	ARI	'+250	A	g	0.5	0.34	0.5 - 0.21	0.35 - 0.32	29%	20%	0,1,0,0,0,0,1,0,1,0	27%	'+265	0
John Hayden	SEA	'+140	A	g	0.5	0.29	0.0 - 0.52	0.5 - 0.2	29%	20%	0,0,0,1,0,1,0	0%	'+550	0
