NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Josh Morrissey	WPG	-155	H	pts	0.5	1.11	1.38 - 0.59	1.15 - 1.07	82%	100%	1,1,2,1,1,1,0,2,3,1	39%	-215	'+160
Auston Matthews	TOR	-120	A	pts	0.5	1.17	1.58 - 0.58	1.14 - 1.19	77%	100%	1,3,1,2,1,1,2,3,0,0	78%	-225	'+165
Evgeni Malkin	PIT	-110	A	pts	0.5	1.0	1.13 - 0.87	1.07 - 0.93	76%	100%	1,1,2,1,3,1,0,0,0,0	67%	-190	'+145
Zach Hyman	EDM	-170	H	pts	0.5	1.14	1.55 - 0.56	1.14 - 1.13	72%	100%	4,1,1,1,2,1,1,3,0,0	58%	-245	'+180
Artemi Panarin	NYR	'+100	H	pts	0.5	1.17	1.62 - 0.76	1.14 - 1.19	70%	100%	1,1,3,2,2,1,0,1,1,1	68%	-230	'+170
Evgeny Kuznetsov	WSH	-105	H	pts	0.5	0.77	1.16 - 0.33	0.59 - 1.0	57%	100%	1,1,1,2,1,1,0,0,0,1	69%	-165	'+125
Michael Bunting	TOR	-120	A	pts	0.5	0.7	0.91 - 0.28	0.79 - 0.62	53%	100%	1,1,2,1,1,1,1,2,1,0	54%	'+100	-140
Anthony Cirelli	TB	-325	H	pts	0.5	1.2	1.51 - 0.0	0 - 1.2	80%	80%	2,1,1,0,2	39%	-115	-125
Jake Guentzel	PIT	-110	A	pts	0.5	1.16	1.32 - 0.82	1.0 - 1.29	76%	80%	0,2,1,2,1,2,2,1,0,0	78%	-225	'+165
Travis Konecny	PHI	'+245	A	pts	0.5	1.04	1.31 - 0.89	0.83 - 1.25	75%	80%	1,1,0,1,1,1,1,0,2,1	56%	-180	'+140
Pierre-Luc Dubois	WPG	-155	H	pts	0.5	1.07	1.31 - 0.55	0.85 - 1.27	75%	80%	1,1,0,3,3,1,1,1,2,1	58%	-190	'+145
Mika Zibanejad	NYR	'+100	H	pts	0.5	1.1	1.58 - 0.55	1.14 - 1.06	73%	80%	1,0,3,1,2,1,1,1,0,1	67%	-210	'+155
Adam Fox	NYR	'+100	H	pts	0.5	1.03	1.43 - 0.69	1.07 - 1.0	73%	80%	1,0,2,1,1,1,0,1,1,0	67%	-160	'+120
Tage Thompson	BUF	'+155	A	pts	0.5	1.52	2.51 - 0.78	1.33 - 1.65	69%	80%	3,0,1,6,2,3,1,2,0,0	59%	-245	'+180
Robert Thomas	STL	'+145	A	pts	0.5	0.89	1.13 - 0.72	0.8 - 1.0	68%	80%	0,1,1,1,1,1,1,0,2,1	61%	-155	'+115
David Krejci	BOS	-240	H	pts	0.5	0.91	0.97 - 0.59	1.12 - 0.8	65%	80%	1,1,0,1,1,2,1,2,1,2	0%	-150	'+110
Brayden Point	TB	-325	H	pts	0.5	1.07	1.3 - 0.68	0.92 - 1.19	64%	80%	2,1,2,1,0,0,1,2,3,0	59%	-230	'+170
Jake Debrusk	BOS	-240	H	pts	0.5	0.85	0.85 - 0.77	1.0 - 0.73	63%	80%	3,1,1,1,0,1,0,0,1,2	40%	-150	'+110
Taylor Hall	BOS	-240	H	pts	0.5	0.82	0.96 - 0.19	0.83 - 0.81	61%	80%	1,1,0,3,1,1,2,0,0,1	52%	-130	-110
Alex Ovechkin	WSH	-105	H	pts	0.5	1.1	1.78 - 0.57	1.0 - 1.23	61%	80%	4,1,2,2,0,0,2,2,0,2	77%	-240	'+175
Jonathan Marchessault	VGK	-205	A	pts	0.5	0.77	0.96 - 0.41	0.81 - 0.73	61%	80%	2,0,1,1,1,1,0,1,1,0	57%	-165	'+125
