NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
Jordan Kyrou	STL	'+140	A	sog	2.5	3.48	3.8 - 3.26	3.88 - 3.0	71%	100%	5,6,4,5,4,3,1,3,1,3	56%	-155	'+115
Andrei Svechnikov	CAR	-125	H	sog	2.5	3.06	3.31 - 2.51	3.05 - 3.08	61%	100%	3,4,3,3,3,2,2,3,2,2	64%	-165	'+125
Trevor Moore	LA	-260	H	sog	2.5	3.24	3.15 - 3.12	3.79 - 2.53	65%	80%	1,6,4,3,5,3,6,3,2,2	47%	-140	'+110
Tony Deangelo	PHI	-180	H	sog	1.5	2.22	2.36 - 2.16	1.67 - 2.67	63%	80%	2,1,3,3,3,1,5,2,3,4	77%	-190	'+155
Frank Vatrano	ANA	'+220	A	sog	2.5	3.09	3.32 - 2.75	3.0 - 3.25	62%	80%	2,5,3,7,3,2,6,2,3,1	51%	-115	-115
Drake Batherson	OTT	'+105	A	sog	2.5	3.06	3.2 - 2.77	2.87 - 3.25	61%	80%	5,2,4,3,5,4,2,6,3,6	41%	-155	'+125
Brayden Point	TB	'+120	A	sog	2.5	3.03	3.06 - 3.17	2.77 - 3.24	60%	80%	1,4,3,5,3,9,1,3,3,2	44%	-125	-115
Cole Perfetti	WPG	-125	H	sog	1.5	1.94	2.18 - 1.46	2.0 - 1.88	52%	80%	2,1,2,2,3,3,3,1,2,0	50%	-145	'+105
Auston Matthews	TOR	-140	H	sog	4.5	4.47	4.62 - 4.28	4.44 - 4.5	47%	80%	4,5,5,8,6,3,8,1,5,6	41%	'+120	-160
Alex Debrincat	OTT	'+105	A	sog	3.5	3.61	4.21 - 2.98	3.27 - 3.94	45%	80%	5,4,5,5,3,2,2,4,3,3	33%	'+100	-130
Claude Giroux	OTT	'+105	A	sog	2.5	2.55	2.2 - 2.8	2.4 - 2.69	45%	80%	4,3,3,3,1,4,5,4,2,1	49%	'+100	-130
William Nylander	TOR	-140	H	sog	3.5	3.31	3.57 - 2.79	2.81 - 3.81	41%	80%	5,1,6,5,4,4,6,7,2,4	33%	'+115	-155
Martin Necas	CAR	-125	H	sog	2.5	3.45	3.57 - 3.12	3.21 - 3.83	71%	60%	6,8,2,1,3,4,3,3,5,4	42%	-165	'+125
Dougie Hamilton	NJ	'+105	A	sog	2.5	3.55	3.62 - 2.94	3.15 - 3.83	65%	60%	6,1,4,2,3,7,3,2,3,1	67%	-175	'+135
Nico Hischier	NJ	'+105	A	sog	2.5	3.1	3.13 - 2.65	2.83 - 3.28	63%	60%	4,4,1,1,4,5,1,2,6,4	37%	-135	-105
Rasmus Andersson	CGY	-175	A	sog	1.5	2.0	1.69 - 2.09	2.0 - 2.0	62%	60%	1,1,2,2,2,6,4,1,1,3	51%	-170	'+130
Jaden Schwartz	SEA	-165	H	sog	1.5	2.07	1.72 - 2.3	1.77 - 2.31	59%	60%	0,2,0,4,4,1,2,1,1,1	76%	-190	'+145
Steven Stamkos	TB	'+120	A	sog	2.5	3.4	3.3 - 3.33	3.69 - 3.18	57%	60%	2,3,4,7,2,2,3,0,2,2	55%	-170	'+130
Sidney Crosby	PIT	-135	H	sog	2.5	3.0	3.31 - 2.32	2.71 - 3.36	55%	60%	3,5,2,4,2,4,8,3,4,2	59%	-170	'+130
Adrian Kempe	LA	-260	H	sog	2.5	2.71	2.14 - 3.08	2.63 - 2.8	53%	60%	2,3,5,3,1,1,2,3,1,4	61%	-160	'+130
Owen Tippett	PHI	-180	H	sog	2.5	2.33	2.44 - 2.11	2.38 - 2.29	52%	60%	3,4,1,4,1,3,2,2,1,1	35%	'+120	-150
Artemi Panarin	NYR	'+115	A	sog	2.5	2.52	2.29 - 2.67	2.44 - 2.59	52%	60%	4,4,3,1,1,6,0,3,2,3	39%	-110	-130
Mark Scheifele	WPG	-125	H	sog	2.5	2.74	2.69 - 2.53	2.13 - 3.31	52%	60%	4,1,5,3,2,2,1,2,4,3	40%	-130	-110
Mitchell Marner	TOR	-140	H	sog	2.5	2.53	2.57 - 2.38	2.62 - 2.44	50%	60%	2,3,2,3,3,4,5,3,3,8	51%	-130	-110
James Van Riemsdyk	PHI	-180	H	sog	2.5	2.83	2.13 - 2.75	2.5 - 3.5	50%	60%	5,2,4,3,1,2	0%	'+105	-145
Kevin Labanc	SJ	'+150	H	sog	1.5	1.81	1.17 - 1.88	1.67 - 1.94	50%	60%	0,2,1,2,2,1,1,1,0,4	52%	-170	'+130
Brady Skjei	CAR	-125	H	sog	2.5	2.26	2.36 - 1.95	2.58 - 1.75	48%	60%	3,0,2,3,5,4,3,3,3,0	35%	'+125	-165
Kevin Hayes	PHI	-180	H	sog	2.5	2.87	2.49 - 2.81	2.5 - 3.27	48%	60%	0,2,5,3,6,7,5,1,3,5	51%	-145	'+105
Kevin Fiala	LA	-260	H	sog	2.5	2.74	2.78 - 2.52	2.21 - 3.4	47%	60%	6,4,4,1,1,3,1,3,3,4	63%	-165	'+125
Nazem Kadri	CGY	-175	A	sog	3.5	3.28	2.98 - 3.3	2.93 - 3.56	47%	60%	4,6,6,3,3,4,2,2,4,5	37%	'+110	-150
Teuvo Teravainen	CAR	-125	H	sog	2.5	2.29	2.12 - 2.44	2.67 - 1.78	43%	60%	3,1,3,1,5,1,2,1,5,0	42%	'+115	-155
Oliver Bjorkstrand	SEA	-165	H	sog	2.5	2.5	2.13 - 2.52	2.79 - 2.25	43%	60%	3,1,3,3,1,2,1,1,1,0	36%	'+100	-140
Pavel Buchnevich	STL	'+140	A	sog	2.5	2.17	2.06 - 2.09	2.38 - 1.9	39%	60%	1,3,0,4,4,1,2,4,1,3	45%	'+135	-175
Anze Kopitar	LA	-260	H	sog	2.5	2.0	2.14 - 1.84	2.05 - 1.93	38%	60%	1,3,3,4,2,2,1,0,3,4	52%	'+100	-140
Jordan Eberle	SEA	-165	H	sog	2.5	2.2	2.18 - 2.1	2.43 - 2.0	30%	60%	5,1,5,3,1,2,2,2,0,4	31%	'+140	-180
Viktor Arvidsson	LA	-260	H	sog	2.5	2.3	2.09 - 2.4	1.88 - 2.85	30%	60%	1,2,3,3,4,7,2,2,1,2	70%	-110	-130
Jack Hughes	NJ	'+105	A	sog	3.5	4.03	4.22 - 3.5	4.92 - 3.39	58%	40%	2,8,2,7,2,1,2,1,8,4	46%	-105	-135
Adam Henrique	ANA	'+220	A	sog	1.5	2.03	1.88 - 2.03	2.2 - 1.73	58%	40%	0,4,1,3,0,3,4,3,2,3	62%	-200	'+150
