NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 10 GAMES	LAST YR % OVER	OVER	UNDER
John Gibson	ANA	'+130	H	sv	28.5	33.71	36.58 - 35.12	33.48 - 33.92	76%	80%	38,38,27,31,36,26,26,36,51,41	47%	-110	-120
Filip Gustavsson	MIN	-340	H	sv	22.5	27.3	28.91 - 26.27	28.15 - 26.75	70%	80%	47,33,18,26,31,39,22,33,23,29	78%	-130	'+100
Sam Montembeault	MTL	-155	H	sv	28.5	30.58	33.09 - 30.6	32.05 - 28.31	61%	60%	31,36,21,39,16,30,30,17,38,35	51%	-115	-115
Jordan Binnington	STL	-150	A	sv	26.5	26.85	28.48 - 27.53	27.81 - 26.19	50%	40%	19,26,32,21,34,21,45,38,32,29	57%	-105	-125
Stuart Skinner	EDM	-190	H	sv	26.5	28.26	29.4 - 29.87	29.35 - 27.3	49%	60%	14,33,25,29,31,26,37,25,26,25	54%	-110	-120
Casey Desmith	PIT	'+115	H	sv	27.5	26.82	28.53 - 30.15	27.11 - 26.43	48%	40%	30,5,13,31,15,38,26,14,23,38	41%	-120	-110
Thatcher Demko	VAN	'+165	A	sv	28.5	27.64	28.51 - 29.36	28.73 - 26.79	44%	20%	17,23,38,24,25,18,20,36,34,34	51%	-110	-120
Alex Stalock	CHI	'+280	A	sv	29.5	27.29	32.49 - 30.45	30.12 - 25.54	43%	40%	27,17,35,23,37,35,29,21,44,22	0%	-110	-120
Pyotr Kochetkov	CAR	-145	H	sv	23.5	23.27	24.92 - 23.11	23.69 - 22.67	41%	20%	19,20,19,29,18,20,26,37,23,15	43%	-125	-105
Matt Murray	TOR	'+125	A	sv	30.5	27.46	30.31 - 23.45	30.2 - 22.89	38%	40%	33,48,25,22,20,4,30,32,34,21	42%	-120	-110
Kaapo Kahkonen	SJ	'+240	A	sv	31.5	26.91	27.86 - 28.48	27.5 - 26.31	34%	20%	29,42,26,19,22,29,32,27,36,12	26%	-110	-120
