NAME	ML	A/H	TEAM	OPP	OPP RANK	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L3 % OVER	LAST GAMES ➡️	LAST YR % OVER	OVER	UNDER
Andre Cisco	'+115	H	JAX	LAC	28th	TACKLES	4.5	4.9	4.75 - 5.0	4.29 - 5.38	60%	33%	5,1,3,5,7,3,6,4,8,9,2,4,5,6,5	18%	-115	-115
Anthony Barr	-140	A	DAL	TB	27th	TACKLES	4.5	4.1	4.0 - 4.5	4.17 - 4.12	43%	67%	6,4,7,7,1,2,3,6,2,6,4,0,7,3	73%	-135	'+100
Camryn Bynum	-165	H	MIN	NYG	21st	TACKLES	4.5	4.8	4.23 - 6.5	4.75 - 4.78	53%	33%	4,9,3,7,1,7,3,8,5,1,2,4,1,6,5,8,7	29%	-135	'+100
Charvarius Ward	-500	H	SF	SEA	12th	TACKLES	4.5	5.1	5.0 - 5.5	5.5 - 4.78	53%	33%	2,6,3,6,8,1,5,10,2,6,10,2,4,4,8,8,2	54%	'+110	-145
Christian Wilkins	'+600	A	MIA	BUF	7th	TACKLES	5.5	5.8	5.0 - 6.62	6.33 - 5.12	53%	67%	6,6,5,6,9,12,4,7,4,1,6,4,6,5,4,8,5	41%	-115	-115
Coby Bryant	'+400	A	SEA	SF	25th	TACKLES	4.5	4.4	5.75 - 3.0	4.62 - 4.12	62%	33%	6,4,2,2,2,5,5,5,6,5,6,8,2,6,1,5	0%	-120	-110
Cody Barton	'+400	A	SEA	SF	25th	TACKLES	8.5	8.0	5.89 - 10.38	7.88 - 8.11	47%	33%	7,6,9,10,14,7,12,9,3,6,5,2,12,7,6,11,10	10%	-115	-115
Damone Clark	-140	A	DAL	TB	27th	TACKLES	4.5	4.7	4.71 - 4.67	4.4 - 5.0	50%	33%	3,5,4,9,6,3,7,3,2,5	0%	-150	'+115
Darious Williams	'+115	H	JAX	LAC	28th	TACKLES	3.5	3.1	3.33 - 2.88	2.67 - 3.62	29%	67%	8,4,1,2,3,3,3,3,4,3,8,2,0,1,4,1,3	86%	-115	-115
Deommodore Lenoir	-500	H	SF	SEA	12th	TACKLES	4.5	4.9	5.23 - 3.67	5.43 - 4.56	56%	100%	7,7,9,10,5,1,5,4,1,2,4,2,8,8,5,1	12%	-115	-115
Derwin James Jr	-135	A	LAC	JAX	12th	TACKLES	7.5	8.2	8.14 - 8.29	8.33 - 8.0	57%	0%	6,3,6,8,7,13,9,8,10,14,7,9,9,6	40%	'+115	-155
Drue Tranquill	-135	A	LAC	JAX	12th	TACKLES	8.5	8.6	8.8 - 8.29	8.89 - 8.25	47%	67%	6,11,11,10,5,5,9,7,15,10,7,8,7,11,12,6,6	21%	-125	-105
Elandon Roberts	'+600	A	MIA	BUF	7th	TACKLES	5.5	6.3	6.33 - 6.25	6.44 - 6.12	59%	67%	4,10,7,5,6,4,9,7,10,8,3,7,7,4,7,4,5	47%	-105	-125
Eric Kendricks	-165	H	MIN	NYG	21st	TACKLES	7.5	8.1	8.69 - 6.0	7.88 - 8.22	65%	33%	3,5,10,12,9,13,8,2,10,9,7,11,7,8,11,8,4	67%	-120	-110
Eric Rowe	'+600	A	MIA	BUF	7th	TACKLES	4.5	4.3	3.86 - 4.83	5.5 - 3.29	46%	33%	3,2,6,8,5,4,1,7,2,3,5,4,6	47%	-125	-105
Fred Warner	-500	H	SF	SEA	12th	TACKLES	7.5	7.6	7.77 - 7.25	8.75 - 6.67	47%	100%	8,12,12,8,7,2,6,6,7,12,6,10,9,9,7,3,6	69%	-105	-130
