TEAM	PPG	PPGA	OVERS	OVERS AVG	TT OVERS	TT AVG	TOT TDS	TOT TDS AVG	TOT TDS ALLOWED	TOT TDS ALLOWED AVG
TEN	18.4	18.7	27,37,27,29,38,41,46,48,41	37.1	17,17,17,19,21,24,24,7,20	18.4	2,2,2,2,3,3,3,1,2	2.2	1,2,1,1,0,2,2,2,6,3	2.0
GB	18.5	21.6	59,24,44,44,37,49,51,26,37,30	40.1	31,9,17,21,10,22,27,14,27,7	18.5	4,1,2,4,1,2,3,2,3,1	2.3	4,2,3,2,3,3,4,1,1,2	2.5
-	-	-	-	-	-	-	-	-	-	-
CHI	21.7	24.7	61,67,78,47,19,51,32,43,37,29	46.4	30,32,29,33,7,22,12,23,10,19	21.7	4,4,4,3,1,2,0,2,1,3	2.4	5,5,7,2,1,4,2,2,3,1	3.2
ATL	23.2	25.0	40,37,71,52,42,36,43,50,58,53	48.2	15,17,37,17,28,15,23,27,27,26	23.2	2,2,5,2,4,2,2,3,3,2	2.7	2,2,4,5,2,2,2,2,4,3	2.8
-	-	-	-	-	-	-	-	-	-	-
CLE	24.1	26.4	56,45,43,53,58,43,46,61,50	50.6	17,32,20,15,28,20,29,30,26	24.1	2,4,2,1,4,2,4,4,2	2.8	5,0,2,2,5,3,2,2,4,3	2.8
BUF	27.8	16.8	63,37,44,44,41,43,40,48,41	44.6	30,17,27,24,38,23,19,41,31	27.8	3,2,3,3,5,2,2,6,4	3.3	4,2,2,0,2,0,2,3,1,1	1.7
-	-	-	-	-	-	-	-	-	-	-
PHI	27.3	18.6	53,46,48,43,37,50,32,31,73	45.9	21,29,35,26,20,29,24,24,38	27.3	3,4,5,3,2,4,3,3,6	3.7	3,2,1,0,2,2,4,1,1,5	2.1
IND	15.7	20.3	45,29,33,29,61,21,41,37,24,40	36.0	25,3,16,10,34,12,17,20,0,20	15.7	3,0,1,1,4,0,2,2,0,2	1.5	3,3,2,2,4,0,3,2,3,2	2.4
-	-	-	-	-	-	-	-	-	-	-
NYJ	21.8	19.6	37,39,25,37,57,44,39,61,33	41.3	20,17,16,27,40,24,12,31,9	21.8	2,2,1,3,5,3,0,4,1	2.3	0,2,1,1,1,2,2,3,4,3	1.9
NE	22.6	18.4	29,39,47,53,29,51,63,31,27	41.0	26,22,14,38,29,24,26,17,7	22.6	3,1,2,5,2,4,3,2,1	2.6	0,0,2,3,1,0,3,5,1,2	1.7
-	-	-	-	-	-	-	-	-	-	-
LAR	16.4	22.2	44,29,45,34,32,33,32,58,41	38.7	17,13,14,24,10,9,20,31,10	16.4	2,1,2,3,1,0,2,4,1	1.8	3,1,4,0,2,2,4,0,3,4	2.3
NO	22.2	24.7	30,40,24,76,56,71,53,36,30,53	46.9	10,13,24,34,26,39,25,14,10,27	22.2	1,1,3,4,2,5,3,2,1,3	2.5	2,3,0,7,4,4,2,2,3,2	2.9
-	-	-	-	-	-	-	-	-	-	-
DET	24.3	29.3	61,24,58,30,29,93,52,63,73	53.7	31,15,27,6,0,45,24,36,35	24.3	5,2,3,0,0,6,3,4,5	3.1	4,1,4,3,0,2,7,4,4,6	3.5
NYG	20.8	19.2	40,40,40,44,49,32,39,35,41	40.0	24,13,23,24,27,20,16,19,21	20.8	3,1,2,3,3,2,1,1,3	2.1	1,0,3,2,2,2,0,2,1,2	1.5
-	-	-	-	-	-	-	-	-	-	-
