"propType","player","position","team","opponent","start","line","sideOneType","sideOneOdds","sideOneValue","sideOneCash","sideOneTickets","sideTwoType","sideTwoOdds","sideTwoValue","sideTwoCash","sideTwoTickets"
"recv_rec","C. Kmet","TE","CHI","NYJ","2022-11-27T18:00:00Z","3.5","over","110","undefined","null","null","under","-146","undefined","null","null"
"recv_yd","C. Kmet","TE","CHI","NYJ","2022-11-27T18:00:00Z","31.5","over","-115","undefined","null","null","under","-117","undefined","null","null"
"recv_rec","D. Mooney","WR","CHI","NYJ","2022-11-27T18:00:00Z","3.5","over","-139","undefined","null","null","under","104","undefined","null","null"
"recv_yd","D. Mooney","WR","CHI","NYJ","2022-11-27T18:00:00Z","41.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"recv_rec","D. Montgomery","RB","CHI","NYJ","2022-11-27T18:00:00Z","2.5","over","-128","undefined","null","null","under","-105","undefined","null","null"
"recv_yd","D. Montgomery","RB","CHI","NYJ","2022-11-27T18:00:00Z","15.5","over","-123","undefined","null","null","under","-109","undefined","null","null"
"rush_att","D. Montgomery","RB","CHI","NYJ","2022-11-27T18:00:00Z","18.5","over","-101","undefined","null","null","under","-133","undefined","null","null"
"rush_recv_yd","D. Montgomery","RB","CHI","NYJ","2022-11-27T18:00:00Z","88.5","over","-118","undefined","null","null","under","-113","undefined","null","null"
"rush_yd","D. Montgomery","RB","CHI","NYJ","2022-11-27T18:00:00Z","69.5","over","-116","undefined","null","null","under","-116","undefined","null","null"
"pass_att","T. Siemian","QB","CHI","NYJ","2022-11-27T18:00:00Z","28.5","over","-111","undefined","null","null","under","-122","undefined","null","null"
"pass_comp","T. Siemian","QB","CHI","NYJ","2022-11-27T18:00:00Z","16.5","over","100","undefined","null","null","under","-136","undefined","null","null"
"pass_int","T. Siemian","QB","CHI","NYJ","2022-11-27T18:00:00Z","0.5","over","-172","undefined","null","null","under","127","undefined","null","null"
"pass_td","T. Siemian","QB","CHI","NYJ","2022-11-27T18:00:00Z","0.5","over","-200","undefined","null","null","under","148","undefined","null","null"
