,,,,,,,,,,,
,,,,,,,,,,Revised,
, PPR Scoring,,,Week 13,,Peakedinhighskool,,,Date:,"December 02, 2020 07:41 America/New_York",
,Trade Value,Running Back,Trend (+/-),Wide Receiver,Trend (+/-),Tight End,Trend (+/-),Quarterback,Trend (+/-),Defense,Trend (+/-)
,68.5,Dalvin Cook,-0.5,,,,,,,,
,67.5,,,Davante Adams,2,,,,,,
,63.5,Christian McCaffrey,11.5,,,,,,,,
,57.0,Derrick Henry,4.5,,,,,,,,
,56.0,,,Tyreek Hill,2.5,,,,,,
,53.5,Nick Chubb,4,,,Travis Kelce,1,,,,
,51.5,Alvin Kamara,-14.5,,,,,,,,
,50.5,,,Keenan Allen,-1,,,,,,
,49.5,James Robinson,5,,,,,,,,
,48.0,Aaron Jones,-2,,,,,,,,
,45.0,,,Stefon Diggs,-2,,,,,,
,43.5,Austin Ekeler,20.5,,,,,,,,
,43.0,Josh Jacobs,-7,,,,,,,,
,42.5,Chris Carson,3,DeAndre Hopkins,-3.5,,,,,,
,42.0,,,D.K. Metcalf,5,,,,,,
,37.0,,,,,,,Patrick Mahomes II,4.5,,
,36.0,,,A.J. Brown,3.5,,,,,,
,34.0,,,Adam Thielen,2.5,,,,,,
,33.5,,,Julio Jones,-3,,,,,,
,31.5,Miles Sanders,-14.5,Calvin Ridley,2,,,,,,
,30.0,,,Mike Evans,5.5,,,,,,
,29.5,,,Michael Thomas,-4,,,,,,
,29.5,,,Terry McLaurin,2,,,,,,
,29.0,Antonio Gibson,5.5,,,,,,,,
,29.0,D'Andre Swift,4.5,,,,,,,,
,27.0,Ezekiel Elliott,-7.5,,,Darren Waller,-3.5,,,,
,26.0,,,,,,,Aaron Rodgers,4,,
,25.0,James Conner,-8,,,,,,,,
,24.5,,,Robert Woods,0,,,,,,
,24.0,Raheem Mostert,3,Allen Robinson II,3,,,,,,
,23.0,Kenyan Drake,3.5,Chris Godwin,-1,,,,,,
,22.0,,,Cooper Kupp,-2,,,,,,
,21.0,Kareem Hunt,-1.5,Kenny Golladay,-1.5,,,,,,
,20.5,Clyde Edwards-Helaire,-5,JuJu Smith-Schuster,-0.5,,,Josh Allen,1,,
,20.5,David Montgomery,4,Justin Jefferson,4.5,,,Kyler Murray,-6.5,,
,20.5,,,Tyler Lockett,-3,,,Russell Wilson,-0.5,,
,19.5,,,Brandin Cooks,5,,,,,,
,19.0,,,Diontae Johnson,-1,,,,,,
,18.5,Todd Gurley II,-5,,,,,,,,
,18.0,Jonathan Taylor,0.5,,,,,Justin Herbert,-0.5,,
,17.5,Ronald Jones II,4,,,,,,,,
,17.0,Damien Harris,-2.5,Amari Cooper,2,,,Deshaun Watson,-3.5,,
,16.5,J.K. Dobbins,1,,,,,,,,
,16.0,,,D.J. Moore,-1.5,Mark Andrews,-2.5,,,,
,15.5,Wayne Gallman,1.5,Chase Claypool,-0.5,T.J. Hockenson,1,,,,
,15.0,,,,,,,Tom Brady,3,,
,14.5,,,Robby Anderson,1.5,,,,,,
,14.0,,,DeVante Parker,5,Hunter Henry,1.5,Ben Roethlisberger,1.5,,
,14.0,,,,,,,Lamar Jackson,-1.5,,
,12.0,Duke Johnson Jr.,1.5,,,Rob Gronkowski,2,,,,
,11.5,Melvin Gordon III,0,Deebo Samuel,3,,,,,,
,11.0,Giovani Bernard,-2,,,Dallas Goedert,2,,,,
,11.0,Myles Gaskin,2,,,,,,,,
,10.5,Nyheim Hines,2,Antonio Brown,-2,,,,,,
,10.5,Zack Moss,0.5,Tyler Boyd,-3,,,,,,
,10.0,Chase Edmonds,-1,Corey Davis,1.5,Evan Engram,2,,,,
,9.5,,,Brandon Aiyuk,0,,,,,,
,9.5,,,D.J. Chark Jr.,-1,,,,,,
,9.5,,,Tee Higgins,-1.5,,,,,,
,9.0,Cam Akers,3,,,,,,,,
,9.0,Joe Mixon,-4,,,,,,,,
,8.5,Latavius Murray,0.5,CeeDee Lamb,-1.5,,,,,,
,8.0,Darrell Henderson,-3,Mike Williams,-2.5,,,Matt Ryan,0.5,,
,8.0,David Johnson,1,Sterling Shepard,1,,,Ryan Tannehill,4,,
,8.0,James White,2.5,,,,,,,,
,7.5,Frank Gore,6,Jerry Jeudy,-1,,,,,,
,7.0,Gus Edwards,-1,Christian Kirk,-1.5,Hayden Hurst,-1,,,,
,7.0,Jamaal Williams,0,Jarvis Landry,3.5,,,,,,
,7.0,Mike Davis,-4.5,,,,,,,,
,6.5,Carlos Hyde,2,,,,,Kirk Cousins,6,,
,6.5,Tony Pollard,1,,,,,,,,
,6.0,Phillip Lindsay,-2,,,Noah Fant,-1,,,,
,5.5,J.D. McKissic,-1,Curtis Samuel,-1.5,,,Cam Newton,-0.5,,
,5.5,Leonard Fournette,-3.5,Michael Pittman Jr.,-2.5,,,,,,
,5.0,Boston Scott,1.5,Cole Beasley,0.5,Jonnu Smith,-3,,,,
,5.0,Devin Singletary,2,Marquise Brown,-0.5,Robert Tonyan,5.5,,,,
,5.0,Le'Veon Bell,0.5,,,,,,,,
,5.0,Malcolm Brown,-1.5,,,,,,,,
