,,,,,,,,,,,
,,,,,,,,,,Revised,
,0.5 PPR Scoring,,,Week 2,,Peakedinhighskool,,,Date:,"September 16, 2020 10:10 America/New_York",
,Trade Value,Running Back,Trend (+/-),Wide Receiver,Trend (+/-),Tight End,Trend (+/-),Quarterback,Trend (+/-),Defense,Trend (+/-)
,69.5,Christian McCaffrey,0,,,,,,,,
,63.5,Saquon Barkley,-4,,,,,,,,
,60.5,Ezekiel Elliott,0,,,,,,,,
,55.5,Alvin Kamara,-1,,,,,,,,
,50.5,Dalvin Cook,-6.5,,,,,,,,
,49.0,Derrick Henry,-6,,,,,,,,
,48.5,Josh Jacobs,-5,,,,,,,,
,48.0,,,Davante Adams,-2.5,,,,,,
,47.5,Clyde Edwards-Helaire,4,,,,,,,,
,44.5,,,Julio Jones,-2,,,,,,
,41.0,,,DeAndre Hopkins,5.5,,,,,,
,39.5,,,Tyreek Hill,-5.5,,,,,,
,37.5,Joe Mixon,-8.5,,,,,,,,
,37.0,,,,,Travis Kelce,-4.5,,,,
,36.0,Aaron Jones,-1,,,,,,,,
,34.5,,,Michael Thomas,-21.5,,,,,,
,34.0,Jonathan Taylor,14,,,,,,,,
,33.5,,,Chris Godwin,-4.5,,,,,,
,32.0,Kenyan Drake,-1,,,,,,,,
,32.0,Nick Chubb,-16,,,,,,,,
,31.5,,,Adam Thielen,3,,,,,,
,31.0,Austin Ekeler,-3.5,,,,,,,,
,30.5,Miles Sanders,-11.5,,,,,,,,
,30.0,,,Kenny Golladay,-5,,,,,,
,29.0,,,Mike Evans,-3.5,,,,,,
,27.5,Chris Carson,-1.5,,,,,,,,
,27.0,,,Calvin Ridley,6.5,,,,,,
,26.5,,,JuJu Smith-Schuster,3,George Kittle,-13.5,,,,
,24.5,,,A.J. Brown,-3,,,,,,
,24.0,,,Amari Cooper,-1,,,,,,
,23.5,,,Allen Robinson,-3,,,Lamar Jackson,-3.5,,
,23.5,,,Robert Woods,1.5,,,Patrick Mahomes,-6,,
,23.0,Todd Gurley,1,,,,,,,,
,22.5,Raheem Mostert,8.5,,,,,,,,
,22.0,,,,,Mark Andrews,-3.5,,,,
,21.5,David Johnson,5,Odell Beckham Jr.,-4,,,,,,
,20.5,,,D.J. Chark,1.5,,,,,,
,20.5,,,D.J. Moore,-3,,,,,,
,20.0,Melvin Gordon,2.5,,,,,,,,
,19.5,,,Tyler Lockett,2,,,,,,
,18.5,,,Cooper Kupp,-2.5,,,,,,
,18.5,,,D.K. Metcalf,2.5,,,,,,
,18.0,,,Terry McLaurin,0,Zach Ertz,-3.5,,,,
,16.5,,,,,,,Russell Wilson,3.5,,
,16.0,James Conner,-6,A.J. Green,3,,,,,,
,16.0,,,Marquise Brown,4.5,,,,,,
,15.5,David Montgomery,3.5,,,Darren Waller,0,,,,
,15.0,,,Stefon Diggs,0,,,,,,
,14.5,Cam Akers,2.5,,,,,,,,
,14.5,J.K. Dobbins,6,,,,,,,,
,14.0,,,,,,,Dak Prescott,-0.5,,
,14.0,,,,,,,Kyler Murray,1.5,,
,13.5,Kareem Hunt,4,Courtland Sutton,-2.5,,,,,,
,13.5,,,Keenan Allen,-2,,,,,,
,13.5,,,T.Y. Hilton,-0.5,,,,,,
,13.0,Mark Ingram II,-2.5,,,,,,,,
,12.5,,,Michael Gallup,-0.5,,,Deshaun Watson,0,,
,12.0,Le'Veon Bell,-5,Will Fuller,2,,,,,,
,11.5,Devin Singletary,1,,,,,,,,
,11.5,Zack Moss,3.5,,,,,,,,
,11.0,,,Jarvis Landry,-2,,,,,,
,11.0,,,Tyler Boyd,-1,,,,,,
,10.5,Leonard Fournette,-4.5,,,Hunter Henry,1,,,,
,10.0,Antonio Gibson,3,,,,,Josh Allen,-0.5,,
,10.0,D'Andre Swift,0.5,,,,,,,,
,10.0,Duke Johnson,10.5,,,,,,,,
,9.5,,,,,,,Matt Ryan,-0.5,,
,9.0,Nyheim Hines,18,,,Evan Engram,-2,Aaron Rodgers,2,,
,9.0,Ronald Jones II,3,,,,,,,,
,8.5,James White,3,Darius Slayton,2,,,,,,
,8.0,Benny Snell Jr.,22.5,Jamison Crowder,0,Hayden Hurst,0,,,,
,8.0,Latavius Murray,4,Julian Edelman,-3,,,,,,
,7.5,James Robinson,73.5,Marvin Jones,-2.5,Tyler Higbee,-1.5,,,,
,7.5,Joshua Kelley,15,,,,,,,,
,7.5,Malcolm Brown,25,,,,,,,,
,7.0,,,CeeDee Lamb,0.5,,,Tom Brady,-1,,
,7.0,,,Diontae Johnson,-0.5,,,,,,
,6.5,Boston Scott,7.5,,,,,Cam Newton,0.5,,
,6.5,,,,,,,Drew Brees,-2,,
,6.0,Alexander Mattison,4.5,Henry Ruggs III,3,Noah Fant,1.5,,,,
,6.0,,,Preston Williams,2,,,,,,
,5.5,,,Anthony Miller,1,,,,,,
,5.5,,,Deebo Samuel,-3,,,,,,
,5.0,Tony Pollard,9,Jerry Jeudy,2,,,Ben Roethlisberger,-0.5,,
,4.5,,,,,T.J. Hockenson,1,,,,
,4.0,,,Allen Lazard,5.5,,,,,,
,4.0,,,Parris Campbell,9.5,,,,,,
,3.5,Chase Edmonds,6,,,,,,,,
,3.0,,,,,Dallas Goedert,0.5,,,,
