,HOME,,,,,,,,,,,,
,,,,,,,,,,Revised Date,,,
,Standard 1 QB 4 PT/TD,,,Week 2,,Peakedinhighskool,,,Date:,"September 15, 2021 06:03 America/New_York",,,
,Trade Value,Running Back,Trend (+/-),Wide Receiver,Trend (+/-),Tight End,Trend (+/-),Quarterback,Trend (+/-),Defense,Trend (+/-),,
,60.5,Christian McCaffrey,0.5,,,,,,,,,,HOME
,57.5,Dalvin Cook,0,,,,,,,,,,
,53.5,Derrick Henry,-2.5,,,,,,,,,,
,52.0,Alvin Kamara,-1,,,,,,,,,,
,46.0,Ezekiel Elliott,-5.5,,,,,,,,,,
,45.0,Nick Chubb,1,,,,,,,,,,
,44.5,Aaron Jones,-4,,,,,,,,,,
,43.5,Jonathan Taylor,0,,,,,,,,,,
,43.0,,,Tyreek Hill,2,,,,,,,,
,40.0,Joe Mixon,5.5,,,,,,,,,,
,39.5,,,Davante Adams,-0.5,,,,,,,,
,36.5,Saquon Barkley,-4,Stefon Diggs,-1,,,,,,,,
,35.0,,,DeAndre Hopkins,2,Travis Kelce,-0.5,,,,,,
,34.5,Antonio Gibson,-3.5,,,,,,,,,,
,34.0,,,Calvin Ridley,-1,,,,,,,,
,31.5,Najee Harris,-4,D.K. Metcalf,0,,,,,,,,
,30.5,David Montgomery,4,A.J. Brown,0.5,,,,,,,,
,29.5,Austin Ekeler,-1.5,Justin Jefferson,1.5,,,,,,,,
,29.5,Chris Carson,3.5,,,,,,,,,,
,28.5,,,CeeDee Lamb,8.5,,,,,,,,
,26.5,Clyde Edwards-Helaire,-1,,,,,,,,,,
,26.0,,,Amari Cooper,7.5,,,,,,,,
,24.5,,,Keenan Allen,2.5,Darren Waller,-5,,,,,,
,24.0,,,,,,,Patrick Mahomes II,-2,,,,
,23.0,,,Allen Robinson II,0.5,,,,,,,,
,22.5,,,Chris Godwin,3.5,,,,,,,,
,21.5,,,Terry McLaurin,-2,,,,,,,,
,21.0,Miles Sanders,4.5,,,,,,,,,,
,20.0,D'Andre Swift,2,,,,,,,,,,
,19.5,Darrell Henderson Jr.,6,Robert Woods,-1.5,George Kittle,-5,,,,,,
,19.0,Josh Jacobs,0.5,Mike Evans,-1,,,,,,,,
,19.0,,,Tyler Lockett,2,,,,,,,,
,18.0,,,Cooper Kupp,4.5,,,Kyler Murray,-0.5,,,,
,17.5,Myles Gaskin,2.5,,,,,,,,,,
,17.0,,,,,,,Josh Allen,-3.5,,,,
,16.5,Damien Harris,1.5,Adam Thielen,3.5,,,,,,,,
,16.0,James Robinson,-7,Diontae Johnson,1.5,,,,,,,,
,15.5,,,,,T.J. Hockenson,1.5,,,,,,
,15.0,Mike Davis,0,D.J. Moore,0,Mark Andrews,-1,,,,,,
,15.0,,,Julio Jones,-2,,,,,,,,
,15.0,,,Tee Higgins,3,,,,,,,,
,14.5,,,,,,,Dak Prescott,2,,,,
,14.0,Javonte Williams,1.5,,,,,Lamar Jackson,-1,,,,
,14.0,Kareem Hunt,1,,,,,,,,,,
,13.5,,,Antonio Brown,6,,,Russell Wilson,2,,,,
,13.5,,,Ja'Marr Chase,3,,,,,,,,
,13.0,,,,,Kyle Pitts,-1.5,,,,,,
,12.5,Chase Edmonds,1.5,,,,,,,,,,
,12.0,Ty'Son Williams,33,,,,,,,,,,
,11.5,Melvin Gordon III,2.5,Chase Claypool,0,,,Tom Brady,3.5,,,,
,10.5,Elijah Mitchell,50.5,DeVonta Smith,2.5,,,,,,,,
,10.5,Trey Sermon,1,,,,,,,,,,
,10.0,Jamaal Williams,4,,,,,,,,,,
,9.5,Leonard Fournette,5.5,Brandin Cooks,1.5,,,,,,,,
,9.5,,,Courtland Sutton,-0.5,,,,,,,,
,9.0,,,Deebo Samuel,3.5,Rob Gronkowski,6.5,Jalen Hurts,1.5,,,,
,8.5,AJ Dillon,2,Corey Davis,1.5,,,,,,,,
,8.5,Devin Singletary,3,Kenny Golladay,-1.5,,,,,,,,
,8.5,,,Robby Anderson,-1,,,,,,,,
,8.0,James Conner,3.5,Jaylen Waddle,2,,,Aaron Rodgers,-1.5,,,,
,8.0,,,JuJu Smith-Schuster,-0.5,,,Justin Herbert,-2,,,,
,7.5,Kenyan Drake,1.5,Odell Beckham Jr.,-2.5,Logan Thomas,-0.5,Matthew Stafford,1,,,,
,7.5,,,,,Tyler Higbee,3.5,Ryan Tannehill,0,,,,
,7.0,Sony Michel,1.5,Brandon Aiyuk,-5,,,,,,,,
,7.0,Tony Pollard,2,,,,,,,,,,
,6.5,Michael Carter,-1.5,D.J. Chark Jr.,-0.5,Noah Fant,-1.5,,,,,,
,6.5,Ronald Jones II,-2.5,Laviska Shenault Jr.,0,,,,,,,,
,6.5,,,Marvin Jones Jr.,0.5,,,,,,,,
,6.5,,,Will Fuller V,-0.5,,,,,,,,
,6.0,,,Tyler Boyd,-2,,,,,,,,
,5.5,James White,4.5,Marquise Brown,0,Dallas Goedert,1,Joe Burrow,-0.5,,,,
,4.5,Latavius Murray,11,Jakobi Meyers,1.5,,,,,,,,
,4.5,Mark Ingram II,12.5,Mike Williams,0,,,,,,,,
,4.0,Nyheim Hines,1.5,,,Jonnu Smith,-1.5,Kirk Cousins,1.5,,,,
,4.0,Phillip Lindsay,1.5,,,,,,,,,,
,3.5,David Johnson,0.5,Marquez Callaway,-2.5,,,Jameis Winston,3.5,,,,
,3.5,Tony Jones Jr.,35,Mecole Hardman,-0.5,,,Trevor Lawrence,-1,,,,
,3.0,Kenneth Gainwell,8.5,Jarvis Landry,-1,,,,,,,,
,3.0,Tevin Coleman,2.5,Michael Thomas,-3,,,,,,,,
,3.0,Zack Moss,-1.5,Sterling Shepard,3,,,,,,,,
,2.5,Carlos Hyde,5.5,Darnell Mooney,-2,,,,,,,,
,2.5,Rhamondre Stevenson,5,Michael Pittman Jr.,-1.5,,,,,,,,
,2.5,,,Rondale Moore,4.5,,,,,,,,
,2.0,Alexander Mattison,0.5,Nelson Agholor,1,Robert Tonyan,-3,Tua Tagovailoa,0,,,,
,1.5,,,Jerry Jeudy,-10.5,,,Matt Ryan,-1.5,,,,
,1.0,,,Cole Beasley,0.5,,,Baker Mayfield,-0.5,,,,
,1.0,,,DeVante Parker,-1.5,,,Justin Fields,-2,,,,
,1.0,,,Henry Ruggs III,-1,,,,,,,,
,1.0,,,Michael Gallup,-3,,,,,,,,
,0.5,Salvon Ahmed,5.5,Bryan Edwards,2,Gerald Everett,-1,,,,,,
,0.5,,,Jalen Reagor,1,,,,,,,,
,0.5,,,Terrace Marshall Jr.,3.5,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,HOME
